module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
CC1101 V1 433 MHz,rx,8,10.0,1.2,5,5,5,16.827881637496425,0.12083897713121469,16.938218387714496,19.276553110261908,301.058,0.21641833323890997
CC1101 V1 433 MHz,rx,32,10.0,1.2,5,5,5,25.774630820921022,0.10200756766657489,16.88123015984758,19.190596733747835,462.674,0.2603455495475813
CC1101 V1 433 MHz,rx,64,10.0,1.2,5,5,5,46.01185577370107,0.11346472136638733,16.729370040189327,19.085652498963633,833.4440000000001,0.15063912241772667
CC1101 V1 433 MHz,rx,128,10.0,1.2,5,5,5,86.8321499197111,0.1471995421946266,16.679979435541096,19.97625517939739,1577.5059999999999,0.05725374166650656
CC1101 V1 433 MHz,rx,512,10.0,1.2,5,5,5,330.71194955675503,0.19364917201872658,16.629227301979444,19.841100756733713,6026.482,0.012531851789966164
CC1101 V1 433 MHz,rx,1024,10.0,1.2,5,5,5,656.7391482456138,0.39983161237919346,16.632580758511633,20.099426406091847,11965.182,0.02385982204298975
CC1101 V1 433 MHz,rx,8,10.0,38.4,5,5,5,6.2545951543123754,0.11612976875121234,16.805506115061256,19.02843393110289,112.776,0.5257142857142857
CC1101 V1 433 MHz,rx,32,10.0,38.4,5,5,5,6.595446010343219,0.07919787637074374,16.833192178763053,19.305634336974958,118.72999999999999,0.5257142857142857
CC1101 V1 433 MHz,rx,64,10.0,38.4,5,5,5,8.042932718910825,0.1651207933103745,16.560357317621914,18.990318379664043,147.18,0.5257142857142857
CC1101 V1 433 MHz,rx,128,10.0,38.4,5,5,5,10.923408479211798,0.10223608251767478,16.252429067856752,19.544661612332305,203.668,0.18963756680414284
CC1101 V1 433 MHz,rx,512,10.0,38.4,5,5,5,28.014293903812465,0.12908876650401915,15.689753811497946,20.272145266182342,541.066,0.0710465068800784
CC1101 V1 433 MHz,rx,1024,10.0,38.4,5,5,5,50.75398390710518,0.20347594012264753,15.580947129175396,20.63639399461469,987.1,0.19062019062019062
CC1101 V1 433 MHz,rx,8,10.0,250.0,5,5,5,5.8978708267045095,0.06385093317446003,16.654613735797493,19.219910333159987,107.31200000000001,0.5257142857142857
CC1101 V1 433 MHz,rx,32,10.0,250.0,5,5,5,6.177192940960571,0.055083475845194727,16.648816123083233,18.70454428167325,112.43400000000001,0.5257142857142857
CC1101 V1 433 MHz,rx,64,10.0,250.0,5,5,5,6.942425911359043,0.08218453546751853,16.29914898508307,18.685439208855783,129.07,0.5257142857142857
CC1101 V1 433 MHz,rx,128,10.0,250.0,5,5,5,8.64849990572214,0.08546312570124935,15.879080400599335,19.478231869726987,165.044,0.3069926094371802
CC1101 V1 433 MHz,rx,512,10.0,250.0,5,5,5,18.782343609120705,0.12597171567716028,14.896745431721017,19.56393119679515,382.07,0.0
