module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E280-2G4T12S UART (SX1280),rx,8,12,1.0,,5,5,5,9.973034874167933,12.316274770096332,17777.24576500523,23671.941097646577,170.0,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,32,12,1.0,,5,5,5,21.010949230079394,29.077162682886357,17588.2715805118,23759.65569237064,362.0,0.025311878502983186
Ebyte E280-2G4T12S UART (SX1280),rx,64,12,1.0,,5,5,5,35.81647730296693,56.15081764772797,17562.262088343105,23895.862989564746,618.0,0.19561923129907702
Ebyte E280-2G4T12S UART (SX1280),rx,8,12,100.0,,5,5,5,0.720968595078317,2.010001782321987,18834.080331199504,23050.37287628735,11.6,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,32,12,100.0,,5,5,5,0.8413092810630045,0.7427218142822981,18856.67206972845,23751.051154318404,13.520000000000001,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,64,12,100.0,,5,5,5,1.0002533811980645,1.6097438682874308,18849.943110170072,23585.133373367666,16.080000000000002,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,8,12,2000.0,,5,5,5,0.5893137071898816,2.4370120802049904,17716.261038656856,22623.38004510507,10.08,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,32,12,2000.0,,5,5,5,0.5944188708918725,3.356156974452398,17711.59592657765,21773.601768071094,10.17,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),rx,64,12,2000.0,,5,5,5,0.6021561875731067,3.3911684632561707,17715.686601150537,22246.033554306057,10.3,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,8,4,1.0,,5,5,5,34.67152826102928,23.082692019180858,24082.396831434664,29605.675646198797,436.274,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,32,4,1.0,,5,5,5,53.92128249766247,24.31720552187283,24027.113371064268,29535.77676427154,680.056,0.0
Ebyte E280-2G4T12S UART (SX1280),tx,64,4,1.0,,5,5,5,78.67217421925112,75.60013551878122,24061.514724363544,29645.565867012174,990.7959999999999,0.13725348551614536
Ebyte E280-2G4T12S UART (SX1280),tx,8,4,100.0,,5,5,5,0.2094943515268714,0.7367656210139387,24682.79116977375,28889.177517068914,2.572,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,32,4,100.0,,5,5,5,0.37237599883570927,1.8699005515094766,24976.258639490155,29836.344571973103,4.518,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,64,4,100.0,,5,5,5,0.5694512006159986,0.6607981776864477,25023.42997921255,29686.56654143187,6.895999999999999,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,8,4,2000.0,,5,5,5,0.01810062538764489,0.5181700642938032,19312.01760810728,28461.93849741744,0.284,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,32,4,2000.0,,5,5,5,0.025516104137498653,1.374676364865788,20858.63143922313,29027.994380237862,0.372,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,64,4,2000.0,,5,5,5,0.03556618616863064,0.5142855120799223,21737.77711468277,28202.93481652099,0.496,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,8,7,1.0,,5,5,5,37.6364616976583,36.46225506914292,26140.24379001151,31932.479666982857,436.3,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,32,7,1.0,,5,5,5,58.58009189965243,26.829478964795996,26102.062789261963,31609.93811464751,680.082,0.0
Ebyte E280-2G4T12S UART (SX1280),tx,64,7,1.0,,5,5,5,85.3871552675618,44.611706841023675,26113.678975255134,32488.289429089502,990.856,0.13725348551614536
Ebyte E280-2G4T12S UART (SX1280),tx,8,7,100.0,,5,5,5,0.22867654647254032,0.797732527342593,26693.425300706313,33077.72916490396,2.596,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,32,7,100.0,,5,5,5,0.40736448033841666,0.8775415436299963,27059.18248879853,32477.449589055672,4.561999999999999,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,64,7,100.0,,5,5,5,0.6201057758354824,1.2115447873221297,27146.93152924459,31962.874930463382,6.922,0.29473684210526313
Ebyte E280-2G4T12S UART (SX1280),tx,8,7,2000.0,,5,5,5,0.02025081374534805,0.3419519143955848,19923.685602295795,32054.336277910967,0.308,0.29473684210526313
