run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-21T10:40:04+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,-9.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,335,25.555555555555557,6086656.0,6000000.0,60.0,0.002382203722447966,5865.5000341208915,5225.350513860602,5690.065612362913,2213.899371707401,14882.336170151835,0.0,18.777216520797612,7.305867926634423,49.111709361501056,0.0,1126.6329912478568,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_133801_radio_ebyte_e22_sx1268_continuous_rx
continuous_002,2026-07-21T10:42:02+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,449.0,28736.0,335,25.389755011135858,6086656.0,6000000.0,60.0,0.002382203722447966,5838.465828568198,5209.1331918022315,5517.434578026057,2200.1403892285807,14141.499712927858,0.0,18.20753410748599,7.260463284454317,46.666949052661934,0.0,1092.4520464491595,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=449,BYTES=28736,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_133801_radio_ebyte_e22_sx1268_continuous_rx
continuous_003,2026-07-21T10:44:00+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,18.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 18}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,336,25.333333333333332,6086656.0,6000000.0,60.0,0.002382203722447966,5830.518537717515,5234.724335308535,5514.027838752746,2185.592639647234,14461.818349611936,0.0,18.19629186788406,7.212455710835872,47.72400055371939,0.0,1091.7775120730437,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_133801_radio_ebyte_e22_sx1268_continuous_rx
continuous_001,2026-07-21T10:46:06+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,-9.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60001.0,148.0,9472.0,108,27.027027027027028,6114304.0,6000000.0,60.0,0.0,5851.745365316624,5184.769112690973,5762.096044441848,2171.8756103007163,14975.897676472452,0.0,19.014916946658097,7.167189513992364,49.420462332359094,0.0,1140.8950167994858,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_134401_radio_ebyte_e22_sx1268_continuous_rx
continuous_002,2026-07-21T10:48:12+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,108,27.027027027027028,6113792.0,6000000.0,60.0,0.0036310024805307935,5883.257112261907,5184.769112690973,5590.732186487501,2159.9981977243033,14001.593841125354,0.0,18.449416215408753,7.127994052490201,46.20525967571367,0.0,1106.9649729245252,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_134401_radio_ebyte_e22_sx1268_continuous_rx
continuous_003,2026-07-21T10:50:19+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,18.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 18}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,108,27.027027027027028,6113792.0,6000000.0,60.0,0.0036310024805307935,5849.2561303092525,5241.1974430191,5500.0004478805495,2136.375151484872,14181.935824921304,0.0,18.150001478005812,7.050037999900077,46.8003882222403,0.0,1089.0000886803487,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_134401_radio_ebyte_e22_sx1268_continuous_rx
continuous_001,2026-07-21T10:52:29+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,-9.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,20,9.090909090909092,6354432.0,6000000.0,60.0,0.0,5883.281436787536,5234.231027432808,5789.394657513841,2152.489912303794,15631.97980223445,0.0,19.105002369795674,7.10321671060252,51.58553334737368,0.0,1146.3001421877404,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_135020_radio_ebyte_e22_sx1268_continuous_rx
continuous_002,2026-07-21T10:54:31+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60001.0,22.0,1408.0,20,9.090909090909092,6354432.0,6000000.0,60.0,0.0,5844.851098457708,5223.423608857703,5607.3033662818025,2136.746046286307,14975.897676472452,0.0,18.504101108729948,7.051261952744813,49.420462332359094,0.0,1110.2460665237968,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_135020_radio_ebyte_e22_sx1268_continuous_rx
continuous_003,2026-07-21T10:56:34+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),rx,COM52,COM51,COM11,3300.0,18.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 18}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,20,9.090909090909092,6354432.0,6000000.0,60.0,0.0,5863.371922294492,5179.940192816092,5507.87595987027,2117.258892985699,14199.8397743754,0.0,18.17599066757189,6.986954346852806,46.85947125543882,0.0,1090.5594400543134,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_135020_radio_ebyte_e22_sx1268_continuous_rx
continuous_001,2026-07-21T10:33:53+00:00,RADIO_EBYTE_E22_SX1268,Ebyte E22-400M30S (SX1268),tx,COM52,,COM11,3300.0,-9.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6095360.0,6000000.0,60.0,0.0,539.3645775650165,389.99523947860285,11184.65392918677,1727.3133821616243,17669.884591099722,10645.289351621754,36.90935796631634,5.70013416113336,58.31061915062909,35.129454860351785,2214.5614779789807,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260721_133152_radio_ebyte_e22_sx1268_continuous_tx
