module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-433T33D UART,rx,8,30,0.3,,5,5,5,88.03223743799968,495.54346147612307,19711.700462764165,111870.9397767097,1353.33,0.0
Ebyte E32-433T33D UART,rx,32,30,0.3,,5,5,5,175.47561098607682,785.6472578084928,18004.905503800263,115199.90377902027,2953.33,0.0
Ebyte E32-433T33D UART,rx,58,30,0.3,,5,5,5,275.0197025271052,1319.0276833511575,17782.23805355893,115047.01474485107,4686.66,0.05202382399416555
Ebyte E32-433T33D UART,rx,128,30,0.3,,5,5,5,635.3432514321757,5501.511275421452,17513.188270501316,117770.07752144635,10993.33,0.019426153800315826
Ebyte E32-433T33D UART,rx,512,30,0.3,,5,5,5,2342.171560193041,17758.69475961632,17096.892916907767,119888.83225157566,41513.33,0.005576112210653128
Ebyte E32-433T33D UART,rx,1024,30,0.3,,5,5,5,4641.6145289595215,20122.170607317617,16940.94231010209,122917.13036511678,83026.66,0.0005685284515690292
Ebyte E32-433T33D UART,rx,8,30,4.8,,5,5,5,13.403106581006636,143.77188599775843,55387.25554056852,110964.33764729646,73.33000000000001,0.11005502751375688
Ebyte E32-433T33D UART,rx,32,30,4.8,,5,5,5,27.161726685541403,354.3261004331131,59934.65570775417,119132.37048444008,137.33,0.07480579265368754
Ebyte E32-433T33D UART,rx,58,30,4.8,,5,5,5,42.06499019849988,435.8756348468211,61680.860963989864,118980.98709219872,206.66,0.13767783386874713
Ebyte E32-433T33D UART,rx,128,30,4.8,,5,5,5,103.72379284982523,679.8729194511867,63200.39486605457,119586.11798948576,497.33000000000004,0.026800413492093878
Ebyte E32-433T33D UART,rx,512,30,4.8,,5,5,5,378.4770963105044,532.1689735017703,62558.31147965797,121554.24214833765,1833.33,0.014987877452060833
Ebyte E32-433T33D UART,rx,1024,30,4.8,,5,5,5,755.2504768706555,1261.5514883675596,62417.50826907747,121251.352811605,3666.66,0.009034993223755082
Ebyte E32-433T33D UART,rx,8,30,19.2,,5,5,5,5.644168287709051,186.95029997224356,42758.85066446251,117013.51070952513,40.0,0.16786079836233367
Ebyte E32-433T33D UART,rx,32,30,19.2,,5,5,5,10.366580210963757,101.19428312514977,49084.18660494204,115954.64981465666,64.0,0.0
Ebyte E32-433T33D UART,rx,58,30,19.2,,5,5,5,15.574490313991816,131.5607604711637,52439.361326571765,114592.81204573414,90.0,0.20875587435072965
Ebyte E32-433T33D UART,rx,128,30,19.2,,5,5,0,37.47510163827359,1331.7718292902498,50696.83663186363,119737.88654594123,224.0,0.015158946007401133
Ebyte E32-433T33D UART,rx,512,30,19.2,,5,5,0,136.48819347633398,2829.7314652851833,51700.07328649015,121251.4228414621,800.0,0.109484404837683
Ebyte E32-433T33D UART,rx,1024,30,19.2,,5,5,0,274.381870148084,3033.5701120098743,51966.26328562196,121100.03944922073,1600.0,0.023840608503150368
Ebyte E32-433T33D UART,tx,8,24,0.3,,5,5,5,492.06371980319574,112.20082347604918,626708.3803220202,641947.8376998331,237.92600000000002,0.05553218342448465
Ebyte E32-433T33D UART,tx,32,24,0.3,,5,5,5,922.817461664519,398.4487716071451,631661.6337538072,646839.8914242995,442.70799999999997,0.014987877452060833
Ebyte E32-433T33D UART,tx,58,24,0.3,,5,5,5,1441.1036509087285,696.4124182242379,634285.6793112087,648797.4972484855,688.488,0.012214628471717318
Ebyte E32-433T33D UART,tx,128,24,0.3,,5,5,5,3418.7162805879593,1084.3434838730645,633473.3008937358,649613.361841914,1635.388,0.0
Ebyte E32-433T33D UART,tx,512,24,0.3,,5,5,5,12786.590511391847,15342.526781814096,635829.6684216139,652224.6642692928,6093.966,0.0
Ebyte E32-433T33D UART,tx,1024,24,0.3,,5,5,5,25674.838118818414,3858.4274009728383,637289.2448257356,654836.8595773494,12208.356,0.00206230735017846
Ebyte E32-433T33D UART,tx,8,24,4.8,,5,5,5,164.56970551693297,80.98821391885367,619606.0248264393,638688.3009981166,80.486,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,24,4.8,,5,5,5,335.9585223358159,39.29593137085275,626928.2182769051,642110.8460483545,162.388,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,24,4.8,,5,5,5,529.3891632422221,276.8996841895417,630169.3841406287,645208.9500733346,254.56800000000004,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,24,4.8,,5,5,5,1264.9487351044295,700.7836500176805,633675.3126142776,649776.5627725426,604.912,0.18860448529994453
Ebyte E32-433T33D UART,tx,512,24,4.8,,5,5,5,4775.915457355288,7718.296244587326,641817.4808205587,657940.0407669697,2254.92,0.07405083150298086
Ebyte E32-433T33D UART,tx,1024,24,4.8,,5,5,5,9632.791139533429,18160.00150161611,647253.1637134408,663332.7970156736,4509.87,0.03986824656713864
