module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-868T20D UART,tx,8,10,0.3,,5,5,5,287.692199961332,264.2025444656939,52937.7376638707,71475.30031372808,1646.83,0.05553218342448465
Ebyte E32-868T20D UART,tx,32,10,0.3,,5,5,5,545.2569203815796,197.89751273181054,52934.37874434545,75683.72987582197,3121.4,0.014987877452060833
Ebyte E32-868T20D UART,tx,58,10,0.3,,5,5,5,861.5344848513214,910.1231337185864,53023.84289355554,76134.37855969057,4923.654,0.012214628471717318
Ebyte E32-868T20D UART,tx,128,10,0.3,,5,5,5,2040.1385552870177,830.8240079529958,53030.10561021235,76134.44858954768,11657.978,0.0
Ebyte E32-868T20D UART,tx,512,10,0.3,,5,5,5,7658.458118028985,1897.173512702806,53158.00070275528,78540.93119234542,43657.490000000005,0.0
Ebyte E32-868T20D UART,tx,1024,10,0.3,,5,5,5,15329.448882669683,5326.626032230331,53201.48969021422,79594.11966878803,87314.99,0.0
Ebyte E32-868T20D UART,tx,8,10,4.8,,5,5,5,11.241395446140336,13.848691117374283,53251.26572654955,75232.15329634666,63.970000000000006,0.29473684210526313
Ebyte E32-868T20D UART,tx,32,10,4.8,,5,5,5,24.190245354649434,25.81388050740288,53232.8587106484,73729.22652417788,137.704,0.29473684210526313
Ebyte E32-868T20D UART,tx,58,10,4.8,,5,5,5,38.22798168888729,21.46508190294764,53242.74398416026,74631.1366531648,217.574,0.29473684210526313
Ebyte E32-868T20D UART,tx,128,10,4.8,,5,5,5,89.8433640172705,72.09067738984218,53235.06032199752,78089.54719497719,511.416,0.18860448529994453
Ebyte E32-868T20D UART,tx,512,10,4.8,,5,5,5,338.64304872982405,127.87045166563071,53240.644417765936,78541.22881923815,1927.458,0.07405083150298086
