module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-868T30D UART,tx,8,21,0.3,5,5,5,1403.3525932384823,843.5717585025146,257473.9239091669,288841.3452770001,1651.6560000000002,0.05553218342448465
Ebyte E32-868T30D UART,tx,32,21,0.3,5,5,5,2660.5403397652944,1033.0596684965078,257903.8139868775,288220.3351096135,3126.066,0.014987877452060833
Ebyte E32-868T30D UART,tx,58,21,0.3,5,5,5,4202.791784918035,1611.9513183031404,258418.09625318105,288065.2051200167,4928.343999999999,0.012214628471717318
Ebyte E32-868T30D UART,tx,128,21,0.3,5,5,5,9998.558664046512,5908.936498543593,259581.57417640803,290704.4808239456,11672.116,0.0
Ebyte E32-868T30D UART,tx,512,21,0.3,5,5,5,37387.43843488935,44945.200155089464,259248.0919210716,290393.87069546664,43701.486,0.0
Ebyte E32-868T30D UART,tx,1024,21,0.3,5,5,5,74806.36961653498,100395.04734475091,259360.42193588373,291480.9711302144,87401.912,0.00206230735017846
Ebyte E32-868T30D UART,tx,8,21,4.8,5,5,5,56.315440622583615,86.26331373875888,246879.35822635485,291170.3434942712,69.124,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,21,4.8,5,5,5,119.59262512957697,160.96208287479595,255122.72897347825,290860.0485001492,142.05,0.29473684210526313
Ebyte E32-868T30D UART,tx,58,21,4.8,5,5,5,188.5908014593795,208.40812334826865,257582.23810784123,289928.0780549981,221.86599999999999,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,21,4.8,5,5,5,443.396512109731,687.5244165218421,255954.05758229768,291325.7010809035,524.948,0.18860448529994453
Ebyte E32-868T30D UART,tx,512,21,4.8,5,5,5,1666.96348758586,599.9786021685311,256620.22503933747,291946.95635279,1968.4360000000001,0.07405083150298086
Ebyte E32-868T30D UART,tx,1024,21,4.8,5,5,5,3333.7367818731786,721.4699647015917,256627.99890152155,292412.8190231156,3936.528,0.03986824656713864
Ebyte E32-868T30D UART,tx,8,21,19.2,5,5,5,21.768097469240487,28.71474470502931,227665.9272196848,290704.4808239456,28.974,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,21,19.2,5,5,5,46.89260261993632,37.559989476586004,245531.2961830416,291481.18121978577,57.874,0.29473684210526313
Ebyte E32-868T30D UART,tx,58,21,19.2,5,5,5,74.66252127190069,72.61622449963903,252190.39152679982,291170.69364355673,89.714,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,21,19.2,5,5,5,174.94583088386779,245.75816212671654,249613.40054787142,292412.8190231156,212.38400000000001,0.29473684210526313
Ebyte E32-868T30D UART,tx,512,21,19.2,5,5,5,660.7535577033314,658.9585277674231,251190.99657138958,293189.58944881294,797.116,0.0
Ebyte E32-868T30D UART,tx,1024,21,19.2,5,5,5,1320.7180014703292,374.4173931592135,251420.4480803595,292723.4991814517,1591.826,0.08938364573954326
Ebyte E32-868T30D UART,tx,8,27,0.3,5,5,5,2420.0644556593975,2531.498960121463,443938.06468003534,496973.4856613338,1651.9260000000002,0.05553218342448465
Ebyte E32-868T30D UART,tx,32,27,0.3,5,5,5,4565.5252308906765,5568.026447514004,442546.20247630554,495534.77261676936,3126.21,0.014987877452060833
Ebyte E32-868T30D UART,tx,58,27,0.3,5,5,5,7169.26858221138,7650.354617743175,440839.6826155827,493297.4748460181,4928.108,0.012214628471717318
Ebyte E32-868T30D UART,tx,128,27,0.3,5,5,5,16920.751720024866,17192.101081939152,439283.7154955637,492818.04389087745,11672.412,0.0
Ebyte E32-868T30D UART,tx,512,27,0.3,5,5,5,62673.17273225947,38324.39472883484,434579.0606020022,491699.81518464454,43701.762,0.0
Ebyte E32-868T30D UART,tx,1024,27,0.3,5,5,5,124598.1022060688,242404.94059935227,431971.81215202075,493137.8279306378,87406.16799999999,0.00206230735017846
Ebyte E32-868T30D UART,tx,8,27,4.8,5,5,5,95.5346899985614,73.70746718552103,418242.4309659894,494895.50216414145,69.21799999999999,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,27,4.8,5,5,5,204.4461839015591,242.40615489782584,435453.1241845096,496973.94085540494,142.274,0.29473684210526313
Ebyte E32-868T30D UART,tx,58,27,4.8,5,5,5,322.64214162090116,285.21903953498907,440553.81370496826,494416.0537015366,221.92600000000002,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,27,4.8,5,5,5,758.7845703860484,596.8333982789757,437819.1889291794,498092.7473079591,525.182,0.18860448529994453
Ebyte E32-868T30D UART,tx,512,27,4.8,5,5,5,2845.434136128617,3498.335067291462,437889.61982154445,497453.336795617,1969.11,0.07405083150298086
Ebyte E32-868T30D UART,tx,1024,27,4.8,5,5,5,5668.943521242674,8722.460970609272,436216.53390212933,495215.1636516518,3938.094,0.03986824656713864
Ebyte E32-868T30D UART,tx,8,27,19.2,5,5,5,36.4998202279862,21.41722992178794,381109.34166593285,496174.148114183,29.022000000000002,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,27,19.2,5,5,5,79.82702919333292,45.441529893664075,417659.65176772303,498732.3504024083,57.918000000000006,0.29473684210526313
