profile_id,module,measurement_direction,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,rx_mean_uA_mean,rx_peak_uA_mean,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,8,1,8,30,0.3,5,5,5,5,0,0.0,5,1353.33,0.0,22006.9255191292,27558.387852094478,22006.9255191292,27558.387852094478,22006.9255191292,27558.387852094478,98282.6872922503,219.96097514416562,98.2826872922503,11177.145319498939,12285.335911531287,1397.1431649373674,0.04729075687378541,0.22380439648551387,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,32,1,32,30,0.3,5,5,5,5,0,0.0,5,2953.33,0.0,21913.03397216969,27696.966173377623,21913.03397216969,27696.966173377623,21913.03397216969,27696.966173377623,213564.18804939213,400.68429034249584,213.56418804939213,24120.107207773784,6673.880876543504,753.7533502429308,0.08668181341062461,0.18761773404154608,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,58,1,58,30,0.3,5,5,5,5,0,0.0,5,4686.66,0.0,21836.586211052916,27786.114075812056,21836.586211052916,27786.114075812056,21836.586211052916,27786.114075812056,337724.1619352478,837.2459104886248,337.72416193524776,37420.14363747221,5822.830378193927,645.174890301245,0.09900440825662626,0.2479082058242403,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,128,3,58,30,0.3,5,5,5,5,0,0.0,5,11023.33,0.0,21757.454796450584,27766.27486977708,21757.454796450584,27766.27486977708,21757.454796450584,27766.27486977708,791470.6937984802,714.8259467011068,791.4706937984802,85421.14291363358,6183.364795300627,667.3526790127623,0.09289388959597508,0.09031616107862002,0.011655692280189495,0.019426153800315826
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,512,9,58,30,0.3,5,5,5,5,0,0.0,5,41633.33,0.0,21601.756967068533,27786.09762464752,21601.756967068533,27786.09762464752,21601.756967068533,27786.09762464752,2967865.152086219,5814.659309632652,2967.865152086219,311131.17569855123,5796.611625168396,607.6780775362329,0.0983827140418506,0.19592060325063354,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,1024,18,58,30,0.3,5,5,5,5,0,0.0,5,83281.66,0.0,21506.12932744204,27914.878698449425,21506.12932744204,27914.878698449425,21506.12932744204,27914.878698449425,5910518.296861386,2708.486647893856,5910.518296861386,605268.05741916,5771.990524278697,591.0820873233985,0.09836499416558218,0.04582485852944777,0.0005685284515690292,0.0005685284515690292
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,8,1,8,30,4.8,5,5,5,5,0,0.0,5,73.33000000000001,0.0,21938.469822179868,28212.440055831674,21938.469822179868,28212.440055831674,21938.469822179868,28212.440055831674,5308.868373799483,2.348065332857008,5.308868373799483,505.08769907285387,663.6085467249354,63.13596238410673,0.8727669439519977,0.044229111884658195,0.11005502751375688,0.11005502751375688
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,32,1,32,30,4.8,5,5,5,5,0,0.0,5,137.33,0.0,22159.983282943656,28242.173159939546,22159.983282943656,28242.173159939546,22159.983282943656,28242.173159939546,10042.660664013953,1.8990074184024928,10.042660664013953,1040.3559765082357,313.833145750436,32.511124265882366,1.8641229156047474,0.018909405404956482,0.07480579265368754,0.07480579265368754
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,58,1,58,30,4.8,5,5,5,5,0,0.0,5,206.66,0.0,22267.0493728692,28182.639090670087,22267.0493728692,28182.639090670087,22267.0493728692,28182.639090670087,15185.63779721059,8.189758581506418,15.185637797210589,1619.475545978191,261.82134133121707,27.921992172037776,2.2452337172166845,0.0539309490379836,0.13767783386874713,0.13767783386874713
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,128,3,58,30,4.8,5,5,5,5,0,0.0,5,527.3299999999999,0.0,22161.474236664748,28470.551261051944,22161.474236664748,28470.551261051944,22161.474236664748,28470.551261051944,38565.15369042739,54.1144220988711,38.56515369042739,4079.5009765938316,301.290263206464,31.87110137963931,1.9418580395577725,0.14031947735321312,0.026800413492093878,0.026800413492093878
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,512,9,58,30,4.8,5,5,5,5,0,0.0,5,1953.33,0.0,22089.732066362296,28619.576650815572,22089.732066362296,28619.576650815572,22089.732066362296,28619.576650815572,142390.16991271861,56.43268479371664,142.39016991271862,14773.302756351559,278.10580061077854,28.85410694599914,2.0969319060271436,0.039632430264187744,0.014987877452060833,0.014987877452060833
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,1024,18,58,30,4.8,5,5,5,5,0,0.0,5,3921.6600000000008,0.0,22085.430590089374,28758.843864613744,22085.430590089374,28758.843864613744,22085.430590089374,28758.843864613744,285818.11410216865,145.55496776996623,285.81811410216864,29693.667951720206,279.11925205289907,28.997722609101764,2.0889113283660485,0.050925732341070624,0.009034993223755082,0.009034993223755082
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,8,1,8,30,19.2,5,5,5,5,0,0.0,5,40.0,0.0,22692.10484714605,30135.29193996768,22692.10484714605,30135.29193996768,22692.10484714605,30135.29193996768,2995.3578398232785,16.265266597090562,2.9953578398232783,219.09211602177282,374.4197299779098,27.386514502721603,1.6,0.5430158086904965,0.03357215967246673,0.16786079836233367
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,32,1,32,30,19.2,5,5,5,5,0,0.0,5,64.0,0.0,23127.096460718334,30645.811386501366,23127.096460718334,30645.811386501366,23127.096460718334,30645.811386501366,4884.442772503711,2.295133375295987,4.884442772503712,425.5093884439085,152.63883664074098,13.29716838887214,4.0,0.04698864296693412,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,58,1,58,30,19.2,5,5,5,5,0,0.0,5,90.0,0.0,23304.678988357082,30695.971825776447,23304.678988357082,30695.971825776447,23304.678988357082,30695.971825776447,6921.489659542052,3.553374621443713,6.921489659542052,635.0236728002408,119.33602861279401,10.948684013797255,5.155555555555556,0.051338292711959575,0.0,0.0
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,128,3,58,30,19.2,5,5,5,5,0,0.0,5,254.0,0.0,23214.08324294095,30816.300534798094,23214.08324294095,30816.300534798094,23214.08324294095,30816.300534798094,19458.044574233103,6.281370718747888,19.458044574233103,1824.1809682120288,152.01597323619612,14.251413814156475,4.031496062992126,0.03228161336964896,0.015158946007401133,0.015158946007401133
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,512,9,58,30,19.2,5,5,5,5,0,0.0,5,920.0,0.0,23170.050139987874,31117.378328600338,23170.050139987874,31117.378328600338,23170.050139987874,31117.378328600338,70344.2722250032,60.731843799406604,70.3442722250032,6414.69068315781,137.39115668945936,12.528692740542597,4.452173913043478,0.0863351654348626,0.0875875238701464,0.109484404837683
RADIO_EBYTE_E32_868T30D,Ebyte E32-868T30D UART,rx,1024,18,58,30,19.2,5,5,5,5,0,0.0,5,1855.0,0.0,23139.261558111844,31187.69671522332,23139.261558111844,31187.69671522332,23139.261558111844,31187.69671522332,141646.98962798165,62.902205242766776,141.64698962798164,12909.624919667694,138.32713830857583,12.607055585612983,4.416172506738545,0.04440772473031136,0.023840608503150368,0.023840608503150368
