run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T03:41:31+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,1,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,95232,0.0,True,4453.417676991323,5238.243624259419,28.6,15.48,5804.789097168299,12758.014188497817,,,5804.789097168299,12758.014188497817,89.85813522416527,24.06854832840892,296.5318462397454,79.42620948374943,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00002,2026-07-19T03:41:34+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,2,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5228.5696512197155,27.49,15.48,5797.285620654072,12777.154675916969,,,5797.285620654072,12777.154675916969,89.74198140772504,24.221440708372015,296.1485386454926,79.93075433762765,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00003,2026-07-19T03:41:38+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,3,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5173.8637242639825,27.79,15.48,5772.786400158845,12839.770038712577,,,5772.786400158845,12839.770038712577,89.36273347445892,23.92076953906792,294.89702046571443,78.93853947892413,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00004,2026-07-19T03:41:42+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,4,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,95232,0.0,True,4443.957145865853,5173.8637242639825,27.86,15.48,5756.46944954814,13315.2326929493,,,5756.46944954814,13315.2326929493,89.1101470790052,23.444191269195052,294.06348536071715,77.36583118834366,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00005,2026-07-19T03:41:46+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,5,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5178.692766508787,28.2,15.48,5731.704307814687,13077.803652060134,,,5731.704307814687,13077.803652060134,88.72678268497135,23.177929801023836,292.79838286040547,76.48716834337866,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00006,2026-07-19T03:41:50+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,6,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5228.5696512197155,26.77,15.48,5758.657271212789,12453.793075455362,,,5758.657271212789,12453.793075455362,89.14401455837397,23.598804134662128,294.17524804263405,77.87605364438502,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00007,2026-07-19T03:41:54+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,7,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5177.404492097873,28.93,15.48,5727.37712225321,12821.79850180188,,,5727.37712225321,12821.79850180188,88.65979785247968,22.584855956040187,292.57733291318294,74.53002465493262,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00008,2026-07-19T03:41:58+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,8,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,28.25,15.48,5642.658429416054,12828.656759573942,,,5642.658429416054,12828.656759573942,87.34835248736051,21.299681697670202,288.24956320828966,70.28894960231166,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00009,2026-07-19T03:42:02+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,9,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5121.395044880247,27.41,15.48,5689.022115301404,13085.171155879556,,,5689.022115301404,13085.171155879556,88.06606234486573,22.024896624058425,290.61800573805687,72.6821588593928,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00010,2026-07-19T03:42:06+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,10,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,27.26,15.48,5714.422572822447,12953.698853500151,,,5714.422572822447,12953.698853500151,88.45926142729148,22.6248427353018,291.91556271006186,74.66198102649594,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00011,2026-07-19T03:42:09+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,11,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5172.5754498531005,27.67,15.48,5847.299846230323,13145.28224321374,,,5847.299846230323,13145.28224321374,90.5162016196454,24.765527617379558,298.7034653448298,81.72624113735253,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00012,2026-07-19T03:42:13+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,12,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4448.687090079035,5122.49274615345,28.07,15.48,5681.068932787061,12809.822788098698,,,5681.068932787061,12809.822788098698,87.94294707954371,21.952068787681856,290.21172536249424,72.44182699935013,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00013,2026-07-19T03:42:17+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),RADIO_EBYTE_E79_CC1352P + AT_COMMANDS; E79 modem firmware 0.3.0 required,tx,COM5,COM13,COM5,13,64,1,64,64,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",ampere,3300,15.48,15.48,94720,0.29473684210526313,True,4443.957145865853,5117.671326834156,27.67,15.48,5929.0150319741615,12878.731150211182,,,5929.0150319741615,12878.731150211182,91.78115269496001,26.277229380754495,302.877803893368,86.71485695648983,,,COM13,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
