run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status
continuous_001,2026-07-18T23:21:31+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,-20.0,200.0,,,,,GFSK200,"{""rf_profile"": ""GFSK200"", ""tx_power_dbm"": -20}",64,64,15,60.0,60000.0,2284.0,146176.0,2284,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7171.332648079387,7079.930648864865,7080.9170152014185,1532.798258216685,15562.330386574304,0.0,23.36702615016468,5.058234252115061,51.3556902756952,0.0,1402.0215690098807,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=2284,BYTES=146176,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-18T23:23:20+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,0.0,200.0,,,,,GFSK200,"{""rf_profile"": ""GFSK200"", ""tx_power_dbm"": 0}",64,64,15,60.0,60006.0,2284.0,146176.0,2284,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7160.352037835224,7079.930648864865,7077.488070392457,1532.0213767338385,15628.809416790968,0.0,23.35571063229511,5.055670543221667,51.57507107541019,0.0,1401.3426379377067,"TXCONT=60000,ELAPSED_MS=60006,FRAMES=2284,BYTES=146176,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-18T23:25:09+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,13.0,200.0,,,,,GFSK200,"{""rf_profile"": ""GFSK200"", ""tx_power_dbm"": 13}",64,64,15,60.0,60000.0,2283.0,146112.0,2283,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7141.209901822549,7079.930648864865,7068.874387829155,1529.9367915163696,15691.704402011057,0.0,23.327285479836213,5.04879141200402,51.78262452663649,0.0,1399.6371287901727,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=2283,BYTES=146112,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-18T23:10:16+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,-20.0,4.8,,,,,GFSK4K8,"{""rf_profile"": ""GFSK4K8"", ""tx_power_dbm"": -20}",64,64,15,60.0,60074.0,407.0,26048.0,407,0.0,6095360.0,6000000.0,60.0,0.0,7513.733703351648,7485.5498835200615,7382.040463212464,1516.4218676975574,16413.812757328236,0.0,24.36073352860113,5.00419216340194,54.16558209918318,0.0,1461.6440117160678,"TXCONT=60000,ELAPSED_MS=60074,FRAMES=407,BYTES=26048,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-18T23:12:06+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,0.0,4.8,,,,,GFSK4K8,"{""rf_profile"": ""GFSK4K8"", ""tx_power_dbm"": 0}",64,64,15,60.0,60105.0,407.0,26048.0,407,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7487.762270713256,7485.5498835200615,7375.03276676708,1516.686090700003,15685.551012051428,0.0,24.337608130331365,5.00506409931001,51.76231833976971,0.0,1460.2564878198818,"TXCONT=60000,ELAPSED_MS=60105,FRAMES=407,BYTES=26048,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-18T23:13:55+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,13.0,4.8,,,,,GFSK4K8,"{""rf_profile"": ""GFSK4K8"", ""tx_power_dbm"": 13}",64,64,15,60.0,60000.0,406.0,25984.0,406,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7498.6709747232835,7440.439951758139,7371.062368976986,1514.9604663520786,15559.439457793336,0.0,24.324505817624054,4.999369538961859,51.34615021071801,0.0,1459.4703490574432,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=406,BYTES=25984,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-18T23:15:53+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,-20.0,50.0,,,,,GFSK50,"{""rf_profile"": ""GFSK50"", ""tx_power_dbm"": -20}",64,64,15,60.0,60017.0,1884.0,120576.0,1884,0.0,6095360.0,6000000.0,60.0,0.0,7032.014926116388,6944.909312914186,6939.380303835551,1535.8724060833176,15690.239333633715,0.0,22.899955002657318,5.068378940074948,51.77778980099126,0.0,1373.9973001594392,"TXCONT=60000,ELAPSED_MS=60017,FRAMES=1884,BYTES=120576,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-18T23:17:43+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,0.0,50.0,,,,,GFSK50,"{""rf_profile"": ""GFSK50"", ""tx_power_dbm"": 0}",64,64,15,60.0,60001.0,1881.0,120384.0,1881,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7040.471376609248,6989.90614291991,6947.611227605498,1534.9849155574373,15576.759900585022,0.0,22.927117051098143,5.065450221339543,51.40330767193058,0.0,1375.6270230658886,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=1881,BYTES=120384,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-18T23:19:33+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,13.0,50.0,,,,,GFSK50,"{""rf_profile"": ""GFSK50"", ""tx_power_dbm"": 13}",64,64,15,60.0,60001.0,1853.0,118592.0,1853,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,7024.320688034944,6944.909312914186,6944.9164316035185,1535.996385221018,15675.483864593265,0.0,22.91822422429161,5.06878807122936,51.729096753157776,0.0,1375.0934534574965,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=1853,BYTES=118592,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=1",ok
continuous_001,2026-07-18T23:44:00+00:00,RADIO_EBYTE_E79_CC1352P,Ebyte E79-400DM2005S (CC1352P AT modem),rx,COM5,COM13,COM11,3300,-20.0,50.0,,,,,IEEE154G50,"{""rf_profile"": ""IEEE154G50"", ""tx_power_dbm"": -20}",64,64,15,60.0,60000.0,1817.0,116288.0,1817,0.0,6095360.0,6000000.0,60.0,0.0,7012.284187213175,6944.909312914186,6955.883452893067,1536.5637095155919,15602.659479174687,0.0,22.954415394547123,5.070660241401453,51.488776281276465,0.0,1377.2649236728273,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=1817,BYTES=116288,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok
