bit_rate_kbps,rf_profile,tx_power_dbm,frames_transmitted,frames_received,frames_lost,frame_loss_percent,delivery_percent,requested_duration_s,frame_bytes,inter_frame_gap_ms,status,source_directory
2.5,SLR2K5,-20.0,241,241,0,0.0,100.0,60.0,64,15,ok,20260719_022511_radio_ebyte_e79_cc1352p_continuous_rx
4.8,GFSK4K8,-20.0,407,407,0,0.0,100.0,60.0,64,15,ok,20260719_020820_radio_ebyte_e79_cc1352p_continuous_rx
4.8,OOK4K8,-20.0,409,409,0,0.0,100.0,60.0,64,15,ok,20260719_023626_radio_ebyte_e79_cc1352p_continuous_rx
5.0,SLR5,-20.0,429,429,0,0.0,100.0,60.0,64,15,ok,20260719_023048_radio_ebyte_e79_cc1352p_continuous_rx
50.0,GFSK50,-20.0,1884,1884,0,0.0,100.0,60.0,64,15,ok,20260719_021356_radio_ebyte_e79_cc1352p_continuous_rx
50.0,IEEE154G50,-20.0,1817,1817,0,0.0,100.0,60.0,64,15,ok,20260719_024203_radio_ebyte_e79_cc1352p_continuous_rx
200.0,GFSK200,-20.0,2284,2284,0,0.0,100.0,60.0,64,15,ok,20260719_021934_radio_ebyte_e79_cc1352p_continuous_rx
2.5,SLR2K5,0.0,241,241,0,0.0,100.0,60.0,64,15,ok,20260719_022511_radio_ebyte_e79_cc1352p_continuous_rx
4.8,GFSK4K8,0.0,407,407,0,0.0,100.0,60.0,64,15,ok,20260719_020820_radio_ebyte_e79_cc1352p_continuous_rx
4.8,OOK4K8,0.0,409,409,0,0.0,100.0,60.0,64,15,ok,20260719_023626_radio_ebyte_e79_cc1352p_continuous_rx
5.0,SLR5,0.0,429,429,0,0.0,100.0,60.0,64,15,ok,20260719_023048_radio_ebyte_e79_cc1352p_continuous_rx
50.0,GFSK50,0.0,1881,1881,0,0.0,100.0,60.0,64,15,ok,20260719_021356_radio_ebyte_e79_cc1352p_continuous_rx
50.0,IEEE154G50,0.0,1813,1813,0,0.0,100.0,60.0,64,15,ok,20260719_024203_radio_ebyte_e79_cc1352p_continuous_rx
200.0,GFSK200,0.0,2284,2284,0,0.0,100.0,60.0,64,15,ok,20260719_021934_radio_ebyte_e79_cc1352p_continuous_rx
2.5,SLR2K5,13.0,241,241,0,0.0,100.0,60.0,64,15,ok,20260719_022511_radio_ebyte_e79_cc1352p_continuous_rx
4.8,GFSK4K8,13.0,406,406,0,0.0,100.0,60.0,64,15,ok,20260719_020820_radio_ebyte_e79_cc1352p_continuous_rx
4.8,OOK4K8,13.0,410,410,0,0.0,100.0,60.0,64,15,ok,20260719_023626_radio_ebyte_e79_cc1352p_continuous_rx
5.0,SLR5,13.0,429,429,0,0.0,100.0,60.0,64,15,ok,20260719_023048_radio_ebyte_e79_cc1352p_continuous_rx
50.0,GFSK50,13.0,1853,1853,0,0.0,100.0,60.0,64,15,ok,20260719_021356_radio_ebyte_e79_cc1352p_continuous_rx
50.0,IEEE154G50,13.0,1814,1814,0,0.0,100.0,60.0,64,15,ok,20260719_024203_radio_ebyte_e79_cc1352p_continuous_rx
200.0,GFSK200,13.0,2283,2283,0,0.0,100.0,60.0,64,15,ok,20260719_021934_radio_ebyte_e79_cc1352p_continuous_rx
