module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E79-400DM2005S (CC1352P AT modem),rx,8,13.0,50.0,5,5,5,3.3553295280339723,0.043044352628776275,7.099732930705055,14.364087880524897,143.214,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),rx,32,13.0,50.0,5,5,5,3.422308249604238,0.045142162545983515,7.099349059539361,14.6603724846001,146.07999999999998,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),rx,64,13.0,50.0,5,5,5,3.600304538819255,0.09434414920702067,7.089001902204368,14.717578354143377,153.902,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),rx,128,13.0,50.0,5,5,5,4.482779369193856,0.10553413973615852,7.08711629088888,14.457503515799791,191.672,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),rx,512,13.0,50.0,5,5,5,9.862102250677228,0.07723089102293525,7.071193273459174,14.829539202852718,422.63199999999995,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),rx,1024,13.0,50.0,5,5,5,14.2673614772354,0.025816781214308786,7.068674776110092,14.954345116229971,611.634,0.24455832360850374
Ebyte E79-400DM2005S (CC1352P AT modem),tx,8,-20.0,50.0,5,5,5,0.08290536583197032,0.007704050440159737,5.6988028755555,12.708030726894409,4.412,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,32,-20.0,50.0,5,5,5,0.17090939181269976,0.0029590295317398715,5.696892296082305,12.816241686301122,9.092,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,64,-20.0,50.0,5,5,5,0.2825730199374851,0.003168537227470112,5.7029511264235255,13.103338755512748,15.016,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,128,-20.0,50.0,5,5,5,0.5320308538771277,0.03506894579763839,5.673004519611186,13.071006333442481,28.412,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,512,-20.0,50.0,5,5,5,2.2490468308865355,0.03559410324250476,5.707074854929373,13.26447273489531,119.41600000000001,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,1024,-20.0,50.0,5,5,5,3.7109105649918175,0.01469275293981342,5.715417416031618,13.567812854839595,196.752,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,8,0.0,50.0,5,5,5,0.10331928800387971,0.005483635460178303,6.759525267844097,13.033320453473516,4.636,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,32,0.0,50.0,5,5,5,0.21014688424061487,0.0021895630251576787,6.946536983051854,13.506393549955401,9.168000000000001,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,64,0.0,50.0,5,5,5,0.3434104147332067,0.02019562165436471,7.066786459906441,13.547873949424917,14.738,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,128,0.0,50.0,5,5,5,0.6828660977425027,0.02208454097239224,7.066852622496782,13.796921373810797,29.29,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,512,0.0,50.0,5,5,5,2.768969707801666,0.0323245624117663,7.034397256107516,14.054946561755472,119.28799999999998,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,1024,0.0,50.0,5,5,5,4.550076797801734,0.01401422010905164,7.007432678424504,14.332396357336597,196.764,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,8,13.0,50.0,5,5,5,0.12611034556873832,0.004681878595932005,8.004040218317325,13.773958174378665,4.779999999999999,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,32,13.0,50.0,5,5,5,0.25678668698469037,0.004046493458232345,8.459487553838523,14.712206233429058,9.2,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,64,13.0,50.0,5,5,5,0.42043718557123594,0.019922874343394986,8.72067941593619,14.466095304284186,14.63,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,128,13.0,50.0,5,5,5,0.8499753476581616,0.020074954228829614,8.663625383265712,15.053338987933026,29.742,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,512,13.0,50.0,5,5,5,3.3926495794767555,0.03521888203799743,8.644485121977839,15.321342545901727,118.936,0.29473684210526313
Ebyte E79-400DM2005S (CC1352P AT modem),tx,1024,13.0,50.0,5,5,5,5.583198346988449,0.01624368643146796,8.596213809489296,15.32727858058171,196.818,0.29473684210526313
