run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status
continuous_001,2026-07-19T21:28:42+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,-1.0,0.5,,,,,,"{""bit_rate_kbps"": 0.5, ""tx_power_dbm"": -1}",60,58,2100,60.0,60000.0,20.0,1200.0,20,0.0,6322688.0,6000000.0,60.0,0.0,14803.86274888351,14835.570839958278,16430.78008923151,2100.7345973497204,25126.653731695267,1626.917340348,54.221574294463984,6.932424171254077,82.91795731459437,5.3688272231484,3253.294457667839,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1200,FRAME=60,GAP_MS=2100 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-19T21:11:35+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,-1.0,15.0,,,,,,"{""bit_rate_kbps"": 15.0, ""tx_power_dbm"": -1}",60,58,100,60.0,60000.0,394.0,23640.0,394,0.0,6225408.0,6000000.0,60.0,0.0,14863.569975709164,14929.111782323223,17105.34437446861,2548.532639506181,25960.643322962867,2241.774398759444,56.4476364357464,8.410157710370397,85.67012296577747,7.397855515906166,3386.858186144784,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=394,BYTES=23640,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-19T21:53:46+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,-1.0,250.0,,,,,,"{""bit_rate_kbps"": 250.0, ""tx_power_dbm"": -1}",60,58,100,60.0,60000.0,490.0,29400.0,490,0.0,6222336.0,6000000.0,60.0,0.0,3393.4093544944762,1630.7869097352327,12485.136095377684,8538.508837944013,27439.638454868476,9091.726740883209,41.20094911474636,28.177079165215243,90.55080690106597,30.002698244914587,2472.0569468847816,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=490,BYTES=29400,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-19T21:30:43+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,8.0,0.5,,,,,,"{""bit_rate_kbps"": 0.5, ""tx_power_dbm"": 8}",60,58,2100,60.0,60001.0,20.0,1200.0,20,0.0,6332400.0,6000000.0,60.0,0.0,14815.303899049186,14882.336170151835,16436.085734317694,2103.111260772606,25371.636328615354,1620.781835268508,54.23908292324839,6.940267160549599,83.72639988443066,5.348580056386076,3254.3449753949035,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=20,BYTES=1200,FRAME=60,GAP_MS=2100 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-19T21:13:35+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,8.0,15.0,,,,,,"{""bit_rate_kbps"": 15.0, ""tx_power_dbm"": 8}",60,58,100,60.0,60000.0,394.0,23640.0,394,0.0,6225408.0,6000000.0,60.0,0.0,14837.22222400677,14882.336170151835,17074.7375227523,2547.586258669992,25862.372670793247,2237.5152987455313,56.34663382508259,8.407034653610973,85.34582981361771,7.383800485860253,3380.7980295049556,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=394,BYTES=23640,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-19T21:55:42+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,8.0,250.0,,,,,,"{""bit_rate_kbps"": 250.0, ""tx_power_dbm"": 8}",60,58,100,60.0,60001.0,491.0,29460.0,491,0.0,6222336.0,6000000.0,60.0,0.0,3621.414505732514,1622.1271816907783,12477.689186692027,8540.550556889133,27489.097663255125,8856.274680959512,41.17637431608369,28.18381683773414,90.71402228874192,29.225706447166388,2470.5824589650215,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=491,BYTES=29460,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-19T21:32:44+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,20.0,0.5,,,,,,"{""bit_rate_kbps"": 0.5, ""tx_power_dbm"": 20}",60,58,2100,60.0,60000.0,20.0,1200.0,20,0.0,6331904.0,6000000.0,60.0,0.0,14804.265537908965,14835.570839958278,16424.123539496577,2104.1449481493555,25322.619245275662,1619.8580015876123,54.1996076803387,6.943678328892873,83.56464350940969,5.345531405239121,3251.9764608203222,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1200,FRAME=60,GAP_MS=2100 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-19T21:15:35+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,20.0,15.0,,,,,,"{""bit_rate_kbps"": 15.0, ""tx_power_dbm"": 20}",60,58,100,60.0,60001.0,394.0,23640.0,394,0.0,6225408.0,6000000.0,60.0,0.0,14871.51109517394,14882.336170151835,17088.012961961536,2545.6357127847423,25813.252767675196,2216.5018667875956,56.39044277447307,8.40059785218965,85.18373413332814,7.314456160399065,3383.4265664683844,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=394,BYTES=23640,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-19T21:57:39+00:00,RADIO_HC12,HC-12 UART radio,rx,COM39,COM40,COM11,3300,20.0,250.0,,,,,,"{""bit_rate_kbps"": 250.0, ""tx_power_dbm"": 20}",60,58,100,60.0,60000.0,490.0,29400.0,490,0.0,6222336.0,6000000.0,60.0,0.0,3416.67299116849,1626.4567243634544,12478.57637821332,8531.867065325703,27489.097663255125,9061.90338704483,41.179302048103956,28.15516131557482,90.71402228874192,29.904281177247938,2470.7581228862373,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=490,BYTES=29400,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-19T21:38:06+00:00,RADIO_HC12,HC-12 UART radio,tx,COM39,,COM11,3300,-1.0,15.0,,,,,,"{""bit_rate_kbps"": 15.0, ""tx_power_dbm"": -1}",60,58,100,60.0,60001.0,394.0,23640.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,14835.107374005,14835.570839958278,18295.211608707974,4931.72879199391,28927.887366826697,3460.1042347029743,60.37419830873631,16.274705013579904,95.4620283105281,11.418343974519814,3622.4518985241784,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=394,BYTES=23640,FRAME=60,GAP_MS=100 | SERIAL_ERRORS=0",ok
