module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
HC-12 UART radio,rx,8,20,0.5,,5,5,5,7.200493933346739,4.2275145992300756,14743.02607155352,19869.079755422725,148.0,0.0
HC-12 UART radio,rx,32,20,0.5,,5,5,5,27.214641778514817,30.66954173147988,15501.618693617464,23399.57174396084,532.0,0.0
HC-12 UART radio,rx,60,20,0.5,,5,5,5,51.95562721289751,39.784564837820106,16065.438222912033,23467.59930592191,980.0,0.043099025141098
HC-12 UART radio,rx,8,20,15.0,,5,5,5,1.1875084257274697,1.471936128186477,14833.1013231341,20041.457253849057,24.26,0.06442310642083628
HC-12 UART radio,rx,32,20,15.0,,5,5,5,1.911252696152217,4.985253496878984,15627.832803089317,22429.74031491123,37.06,0.1371407673787828
HC-12 UART radio,rx,60,20,15.0,,5,5,5,2.8382365626160615,11.872274861986856,16539.840108485205,24276.234438243184,52.0,0.1239981853924089
HC-12 UART radio,rx,8,20,250.0,,5,5,5,0.33664867229014417,24.83905761182703,5037.765391547238,21463.639187420595,20.25,0.05302919679980325
HC-12 UART radio,rx,32,20,250.0,,5,5,5,0.357794074321045,14.890667749378936,5158.061216172837,21666.356426647144,21.02,0.09295608017269857
HC-12 UART radio,rx,60,20,250.0,,5,5,5,0.3977959146503769,14.925371177672613,5499.279952587605,22159.90649695991,21.919999999999998,0.13936934411941995
HC-12 UART radio,tx,8,-1,0.5,,5,5,5,26.187429768728915,27.015870293341102,22173.396089822556,27964.459234174537,357.88800000000003,0.29473684210526313
HC-12 UART radio,tx,32,-1,0.5,,5,5,5,66.23345911148532,1709.3368780892738,21796.7363028123,27984.265537880437,920.924,0.2807128213215581
HC-12 UART radio,tx,60,-1,0.5,,5,5,5,112.26730245093295,6353.240889898166,21832.090257128144,28133.06678052724,1559.19,0.0
HC-12 UART radio,tx,8,-1,15.0,,5,5,5,2.291707045447664,9.778970547374819,20834.597882713257,27489.11000162853,33.332,0.29473684210526313
HC-12 UART radio,tx,32,-1,15.0,,5,5,5,2.3041920842814534,3.856664788299836,20965.664585101127,27528.71232706249,33.303999999999995,0.29473684210526313
HC-12 UART radio,tx,60,-1,15.0,,5,5,5,2.305015933811213,5.350427075710872,20960.627413251776,27815.80399561302,33.324,0.29473684210526313
HC-12 UART radio,tx,8,-1,250.0,,5,5,5,2.3253294442980414,44.78453241213012,16312.999524839852,28054.285747146165,43.202,0.29473684210526313
HC-12 UART radio,tx,32,-1,250.0,,5,5,5,3.2301503827101548,2.525746663368703,16741.933768965268,28103.348071188335,58.465999999999994,0.29473684210526313
HC-12 UART radio,tx,60,-1,250.0,,5,5,5,5.061684374997645,6.904414702851209,16956.054127456475,28500.36250819137,90.46000000000001,0.29473684210526313
HC-12 UART radio,tx,8,8,0.5,,5,5,5,37.19652476966711,890.7060224935378,32075.116591521033,40436.949675301556,351.626,0.29473684210526313
HC-12 UART radio,tx,32,8,0.5,,5,5,5,88.46580535983733,7578.824509904929,31927.83915506536,40468.08112839516,846.49,0.2807128213215581
HC-12 UART radio,tx,60,8,0.5,,5,5,5,145.83245512238125,9764.804728645293,32546.091817157674,40332.676404471145,1363.972,0.22423918846769889
HC-12 UART radio,tx,8,8,15.0,,5,5,5,2.9339617801699798,4.853063349461974,26694.321411693112,39937.36376459998,33.306,0.29473684210526313
HC-12 UART radio,tx,32,8,15.0,,5,5,5,2.9546334947995048,10.462821018688418,26810.183071878633,40311.85629775059,33.396,0.29473684210526313
HC-12 UART radio,tx,60,8,15.0,,5,5,5,2.9612836205215047,13.932748621294879,26753.717167835937,40145.32834631526,33.541999999999994,0.29473684210526313
HC-12 UART radio,tx,8,8,250.0,,5,5,5,2.815656426699149,38.50462260759004,19880.978237628166,41711.790207278136,42.922000000000004,0.29473684210526313
HC-12 UART radio,tx,32,8,250.0,,5,5,5,4.130042596166945,41.46355969118743,21236.970512998607,41753.79851552578,58.938,0.29473684210526313
HC-12 UART radio,tx,60,8,250.0,,5,5,5,6.74534358935795,13.500578164896652,22547.316803442704,42351.30696854723,90.65599999999999,0.29473684210526313
HC-12 UART radio,tx,8,20,0.5,,5,5,5,54.731920237012424,50.19875257998291,46378.80718914631,61865.161635315206,357.608,0.29473684210526313
HC-12 UART radio,tx,32,20,0.5,,5,5,5,131.43085587949275,5949.340718715751,45006.581982095406,64116.07656190932,890.642,0.2807128213215581
HC-12 UART radio,tx,60,20,0.5,,5,5,5,210.38696944930405,11610.8495292919,49574.96562942643,63065.9168767867,1298.816,0.22423918846769889
HC-12 UART radio,tx,8,20,15.0,,5,5,5,3.9150160110438024,11.992768705048753,35476.32566565314,60814.86189047837,33.44199999999999,0.29473684210526313
HC-12 UART radio,tx,32,20,15.0,,5,5,5,3.9212659241794765,3.6706751112852403,35606.65641776861,60091.1740376861,33.372,0.29473684210526313
HC-12 UART radio,tx,60,20,15.0,,5,5,5,3.9344451738949027,20.715675772634537,35533.785919158065,60964.827178113264,33.553999999999995,0.29473684210526313
HC-12 UART radio,tx,8,20,250.0,,5,5,5,3.5621035660037763,42.71653985783775,25024.44479070689,63515.86526208421,43.142,0.29473684210526313
HC-12 UART radio,tx,32,20,250.0,,5,5,5,5.412551942626837,18.58090603104147,28016.977329165577,63515.62015758433,58.541999999999994,0.29473684210526313
HC-12 UART radio,tx,60,20,250.0,,5,5,5,9.185725406964684,43.686103887958055,30701.81816417098,65315.00131564797,90.66400000000002,0.29473684210526313
