[05:47:15] Starting sustained nRF24L01 link diagnostic on COM41 / COM42
[05:47:27] COM41->COM42 CH80 250 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:47:34] COM42->COM41 CH80 250 kbps -18 dBm: 244/244, loss=0.0000%, serial_errors=0
[05:47:42] COM41->COM42 CH80 250 kbps -6 dBm: 10/250, loss=96.0000%, serial_errors=0
[05:47:49] COM42->COM41 CH80 250 kbps -6 dBm: 169/243, loss=30.4527%, serial_errors=0
[05:47:57] COM41->COM42 CH80 250 kbps 0 dBm: 6/251, loss=97.6096%, serial_errors=0
[05:48:04] COM42->COM41 CH80 250 kbps 0 dBm: 181/249, loss=27.3092%, serial_errors=0
[05:48:11] COM41->COM42 CH80 1000 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:48:19] COM42->COM41 CH80 1000 kbps -18 dBm: 241/241, loss=0.0000%, serial_errors=0
[05:48:26] COM41->COM42 CH80 1000 kbps -6 dBm: 156/248, loss=37.0968%, serial_errors=0
[05:48:33] COM42->COM41 CH80 1000 kbps -6 dBm: 198/250, loss=20.8000%, serial_errors=0
[05:48:41] COM41->COM42 CH80 1000 kbps 0 dBm: 144/244, loss=40.9836%, serial_errors=0
[05:48:48] COM42->COM41 CH80 1000 kbps 0 dBm: 176/241, loss=26.9710%, serial_errors=0
[05:48:55] COM41->COM42 CH80 2000 kbps -18 dBm: 252/252, loss=0.0000%, serial_errors=0
[05:49:03] COM42->COM41 CH80 2000 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:49:10] COM41->COM42 CH80 2000 kbps -6 dBm: 247/247, loss=0.0000%, serial_errors=0
[05:49:18] COM42->COM41 CH80 2000 kbps -6 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:49:25] COM41->COM42 CH80 2000 kbps 0 dBm: 244/244, loss=0.0000%, serial_errors=0
[05:49:32] COM42->COM41 CH80 2000 kbps 0 dBm: 244/244, loss=0.0000%, serial_errors=0
[05:49:40] COM41->COM42 CH40 250 kbps -18 dBm: 244/244, loss=0.0000%, serial_errors=0
[05:49:47] COM42->COM41 CH40 250 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:49:54] COM41->COM42 CH40 250 kbps -6 dBm: 0/248, loss=100.0000%, serial_errors=0
[05:50:02] COM42->COM41 CH40 250 kbps -6 dBm: 0/247, loss=100.0000%, serial_errors=0
[05:50:09] COM41->COM42 CH40 250 kbps 0 dBm: 0/248, loss=100.0000%, serial_errors=0
[05:50:16] COM42->COM41 CH40 250 kbps 0 dBm: 0/240, loss=100.0000%, serial_errors=0
[05:50:24] COM41->COM42 CH40 1000 kbps -18 dBm: 236/236, loss=0.0000%, serial_errors=0
[05:50:31] COM42->COM41 CH40 1000 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:50:39] COM41->COM42 CH40 1000 kbps -6 dBm: 156/244, loss=36.0656%, serial_errors=0
[05:50:46] COM42->COM41 CH40 1000 kbps -6 dBm: 150/249, loss=39.7590%, serial_errors=0
[05:50:53] COM41->COM42 CH40 1000 kbps 0 dBm: 146/246, loss=40.6504%, serial_errors=0
[05:51:01] COM42->COM41 CH40 1000 kbps 0 dBm: 146/247, loss=40.8907%, serial_errors=0
[05:51:08] COM41->COM42 CH40 2000 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[05:51:15] COM42->COM41 CH40 2000 kbps -18 dBm: 245/245, loss=0.0000%, serial_errors=0
[05:51:23] COM41->COM42 CH40 2000 kbps -6 dBm: 198/247, loss=19.8381%, serial_errors=0
[05:51:30] COM42->COM41 CH40 2000 kbps -6 dBm: 201/248, loss=18.9516%, serial_errors=0
[05:51:37] COM41->COM42 CH40 2000 kbps 0 dBm: 185/249, loss=25.7028%, serial_errors=0
[05:51:45] COM42->COM41 CH40 2000 kbps 0 dBm: 186/246, loss=24.3902%, serial_errors=0
[05:51:47] CSV: C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\log\NRF24L01_Sustained_COM41_COM42_20260720\summary.csv
[05:51:47] Completed 36 scenarios; non-zero-loss scenarios: 20
