"timestamp_utc","direction","channel","data_rate_kbps","tx_power_dbm","frame_bytes","duration_s","gap_ms","frames_transmitted","frames_received","frame_loss_percent","transmitter_serial_errors"
"2026-07-20T02:47:27.6390182Z","COM41->COM42","80","250","-18","32","4","15","246","246","0","0"
"2026-07-20T02:47:34.9911960Z","COM42->COM41","80","250","-18","32","4","15","244","244","0","0"
"2026-07-20T02:47:42.3560607Z","COM41->COM42","80","250","-6","32","4","15","250","10","96","0"
"2026-07-20T02:47:49.7205693Z","COM42->COM41","80","250","-6","32","4","15","243","169","30.4526748971193","0"
"2026-07-20T02:47:57.0793861Z","COM41->COM42","80","250","0","32","4","15","251","6","97.609561752988","0"
"2026-07-20T02:48:04.4426647Z","COM42->COM41","80","250","0","32","4","15","249","181","27.3092369477912","0"
"2026-07-20T02:48:11.7948815Z","COM41->COM42","80","1000","-18","32","4","15","246","246","0","0"
"2026-07-20T02:48:19.1509667Z","COM42->COM41","80","1000","-18","32","4","15","241","241","0","0"
"2026-07-20T02:48:26.5060517Z","COM41->COM42","80","1000","-6","32","4","15","248","156","37.0967741935484","0"
"2026-07-20T02:48:33.8513417Z","COM42->COM41","80","1000","-6","32","4","15","250","198","20.8","0"
"2026-07-20T02:48:41.2089418Z","COM41->COM42","80","1000","0","32","4","15","244","144","40.9836065573771","0"
"2026-07-20T02:48:48.5910868Z","COM42->COM41","80","1000","0","32","4","15","241","176","26.9709543568465","0"
"2026-07-20T02:48:55.9623591Z","COM41->COM42","80","2000","-18","32","4","15","252","252","0","0"
"2026-07-20T02:49:03.3199686Z","COM42->COM41","80","2000","-18","32","4","15","246","246","0","0"
"2026-07-20T02:49:10.6786663Z","COM41->COM42","80","2000","-6","32","4","15","247","247","0","0"
"2026-07-20T02:49:18.0472113Z","COM42->COM41","80","2000","-6","32","4","15","246","246","0","0"
"2026-07-20T02:49:25.4176298Z","COM41->COM42","80","2000","0","32","4","15","244","244","0","0"
"2026-07-20T02:49:32.7758814Z","COM42->COM41","80","2000","0","32","4","15","244","244","0","0"
"2026-07-20T02:49:40.1379714Z","COM41->COM42","40","250","-18","32","4","15","244","244","0","0"
"2026-07-20T02:49:47.5003558Z","COM42->COM41","40","250","-18","32","4","15","246","246","0","0"
"2026-07-20T02:49:54.8684949Z","COM41->COM42","40","250","-6","32","4","15","248","0","100","0"
"2026-07-20T02:50:02.2319644Z","COM42->COM41","40","250","-6","32","4","15","247","0","100","0"
"2026-07-20T02:50:09.5920656Z","COM41->COM42","40","250","0","32","4","15","248","0","100","0"
"2026-07-20T02:50:16.9537318Z","COM42->COM41","40","250","0","32","4","15","240","0","100","0"
"2026-07-20T02:50:24.3089736Z","COM41->COM42","40","1000","-18","32","4","15","236","236","0","0"
"2026-07-20T02:50:31.6850358Z","COM42->COM41","40","1000","-18","32","4","15","246","246","0","0"
"2026-07-20T02:50:39.0356058Z","COM41->COM42","40","1000","-6","32","4","15","244","156","36.0655737704918","0"
"2026-07-20T02:50:46.3931442Z","COM42->COM41","40","1000","-6","32","4","15","249","150","39.7590361445783","0"
"2026-07-20T02:50:53.7690847Z","COM41->COM42","40","1000","0","32","4","15","246","146","40.650406504065","0"
"2026-07-20T02:51:01.1347275Z","COM42->COM41","40","1000","0","32","4","15","247","146","40.8906882591093","0"
"2026-07-20T02:51:08.4943865Z","COM41->COM42","40","2000","-18","32","4","15","246","246","0","0"
"2026-07-20T02:51:15.8447082Z","COM42->COM41","40","2000","-18","32","4","15","245","245","0","0"
"2026-07-20T02:51:23.2231313Z","COM41->COM42","40","2000","-6","32","4","15","247","198","19.8380566801619","0"
"2026-07-20T02:51:30.5857212Z","COM42->COM41","40","2000","-6","32","4","15","248","201","18.9516129032258","0"
"2026-07-20T02:51:37.9464466Z","COM41->COM42","40","2000","0","32","4","15","249","185","25.7028112449799","0"
"2026-07-20T02:51:45.3071364Z","COM42->COM41","40","2000","0","32","4","15","246","186","24.390243902439","0"
