run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status
continuous_001,2026-07-20T02:24:26+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-18.0,250.0,250,,,,,"{""data_rate_kbps"": 250, ""tx_power_dbm"": -18}",32,32,15,60.0,60001.0,3367.0,107744.0,3366,0.0297000297000297,6085120.0,6000000.0,60.0,0.0,13909.399278401708,13995.553114684271,11668.681518872409,5029.451420236454,33549.553156448834,0.0,38.50664901227895,16.5971896867803,110.71352541628116,0.0,2310.398940736737,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=3367,BYTES=107744,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-20T02:30:19+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-18.0,1000.0,1000,,,,,"{""data_rate_kbps"": 1000, ""tx_power_dbm"": -18}",32,32,15,60.0,60000.0,3566.0,114112.0,3566,0.0,6085120.0,6000000.0,60.0,0.0,14418.845954757995,14508.501423982801,12059.385687333059,5350.780869234691,33701.72483143036,0.0,39.79597276819909,17.65757686847448,111.21569194372017,0.0,2387.7583660919454,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3566,BYTES=114112,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-20T02:36:13+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-18.0,2000.0,2000,,,,,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",32,32,15,60.0,60000.0,3603.0,115296.0,3603,0.0,6085120.0,6000000.0,60.0,0.0,14850.073839743382,14929.111782323223,12399.235913077935,5524.146702789989,34209.63207659476,0.0,40.917478513157185,18.229684119206965,112.89178585276271,0.0,2455.048710789431,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3603,BYTES=115296,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-20T02:26:18+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-6.0,250.0,250,,,,,"{""data_rate_kbps"": 250, ""tx_power_dbm"": -6}",32,32,15,60.0,60000.0,3364.0,107648.0,1999,40.576694411414984,6085120.0,6000000.0,60.0,0.0,13919.944449600443,13995.553114684271,12503.478100063414,4024.450502309393,33448.156783017,0.0,41.261477730209265,13.280686657620997,110.37891738395611,0.0,2475.688663812556,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3364,BYTES=107648,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-20T02:32:12+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-6.0,1000.0,1000,,,,,"{""data_rate_kbps"": 1000, ""tx_power_dbm"": -6}",32,32,15,60.0,60000.0,3566.0,114112.0,2802,21.42456533931576,6085120.0,6000000.0,60.0,0.0,14419.896827358854,14508.501423982801,12538.542584083223,4838.340942619935,34057.15194227816,0.0,41.37719052747464,15.966525110645785,112.38860140951792,0.0,2482.631431648478,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3566,BYTES=114112,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_002,2026-07-20T02:38:05+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,-6.0,2000.0,2000,,,,,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -6}",32,32,15,60.0,60000.0,3603.0,115296.0,3603,0.0,6085120.0,6000000.0,60.0,0.0,14847.057652795917,14929.111782323223,12405.473533725406,5528.548817168362,34006.34579479496,0.0,40.93806266129384,18.244211096655594,112.22094112282336,0.0,2456.2837596776303,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3603,BYTES=115296,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-20T02:28:09+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,0.0,250.0,250,,,,,"{""data_rate_kbps"": 250, ""tx_power_dbm"": 0}",32,32,15,60.0,60000.0,3364.0,107648.0,2194,34.78002378121284,6085120.0,6000000.0,60.0,0.0,13914.088486174842,13995.553114684271,12379.013251798277,4190.280254489171,33549.553156448834,0.0,40.85074373093431,13.827924839814264,110.71352541628116,0.0,2451.044623856059,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3364,BYTES=107648,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-20T02:34:04+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,0.0,1000.0,1000,,,,,"{""data_rate_kbps"": 1000, ""tx_power_dbm"": 0}",32,32,15,60.0,60000.0,3565.0,114080.0,2594,27.23702664796634,6085120.0,6000000.0,60.0,0.0,14403.611173920493,14508.501423982801,12666.967237242101,4679.488903908398,33904.76434576207,0.0,41.800991882898934,15.442313382897714,111.88572234101484,0.0,2508.059512973936,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3565,BYTES=114080,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_003,2026-07-20T02:39:56+00:00,RADIO_NRF24L01,nRF24L01,rx,COM41,COM42,COM11,3300,0.0,2000.0,2000,,,,,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": 0}",32,32,15,60.0,60000.0,3602.0,115264.0,3602,0.0,6085120.0,6000000.0,60.0,0.0,14838.324466358405,14929.111782323223,12406.038883386756,5524.856093239603,33904.76434576207,0.0,40.939928315176296,18.23202510769069,111.88572234101484,0.0,2456.3956989105777,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3602,BYTES=115264,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
continuous_001,2026-07-20T02:18:41+00:00,RADIO_NRF24L01,nRF24L01,tx,COM41,,COM11,3300,-18.0,1000.0,1000,,,,,"{""data_rate_kbps"": 1000, ""tx_power_dbm"": -18}",32,32,15,60.0,60000.0,3567.0,114144.0,,,6095360.0,6000000.0,60.0,0.0,26.362499330513604,26.511345123379655,267.0569820682844,2062.1546470749263,31630.05493408406,240.6944827377708,0.8812880408253385,6.805110335347257,104.37918128247739,0.7942917930346437,52.87728244952031,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=3567,BYTES=114144,FRAME=32,GAP_MS=15 | SERIAL_ERRORS=0",ok
