run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-20T04:25:07+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,1,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,55296,0.0,True,27.253021847219053,227.25302184721906,9.3,1.63,7566.692408452116,32587.94814826701,,,7566.692408452116,32587.94814826701,12.33370862577695,12.291273457505447,40.70123846506393,40.56120240976797,,,COM44,01234567,True,False,ok
run_00002,2026-07-20T04:25:10+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,2,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,55296,0.0,True,27.209393804640264,227.20939380464026,8.87,1.11,9216.024864250303,32537.440178141067,,,9216.024864250303,32537.440178141067,10.229787599317836,10.200031050789839,33.75829907774886,33.660102467606464,,,COM44,01234567,True,False,ok
run_00003,2026-07-20T04:25:13+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,3,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.165765762061476,227.16576576206148,8.71,0.74,7486.6858967132,34260.4793519893,,,7486.6858967132,34260.4793519893,5.540147563567768,5.520081108179183,18.28248695977363,18.216267656991302,,,COM44,01234567,True,False,ok
run_00004,2026-07-20T04:25:16+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,4,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.122137719482687,227.12213771948268,8.24,1.57,7812.623612246079,34871.44865099501,,,7812.623612246079,34871.44865099501,12.265819071226343,12.225535640289804,40.477202935046925,40.34426761295635,,,COM44,01234567,True,False,ok
run_00005,2026-07-20T04:25:19+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,5,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.122137719482687,227.12213771948268,8.16,0.78,7503.754769844609,33955.549929289606,,,7503.754769844609,33955.549929289606,5.852928720478795,5.8317734530575995,19.314664777580024,19.244852395090078,,,COM44,01234567,True,False,ok
run_00006,2026-07-20T04:25:22+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,6,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,55296,0.0,True,27.122137719482687,227.12213771948268,8.34,0.78,7161.133134782116,32285.054557178886,,,7161.133134782116,32285.054557178886,5.58568384513005,5.564528577708854,18.432756688929164,18.362944306439218,,,COM44,01234567,True,False,ok
run_00007,2026-07-20T04:25:25+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,7,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.0785096769039,227.0785096769039,8.02,1.56,7766.316345576651,32486.942489992955,,,7766.316345576651,32486.942489992955,12.115453499099575,12.07365908400089,39.980996547028596,39.84307497720294,,,COM44,01234567,True,False,ok
run_00008,2026-07-20T04:25:29+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,8,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.0785096769039,227.0785096769039,8.39,1.6199999999999999,8673.072095855148,34311.33690936168,,,8673.072095855148,34311.33690936168,14.05037679528534,14.00695548820391,46.36624342444162,46.222953111072904,,,COM44,01234567,True,False,ok
run_00009,2026-07-20T04:25:32+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,9,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,54784,0.652836210648484,True,27.034881634325114,227.0348816343251,8.27,0.5599999999999999,9108.444101446321,33245.48741988739,,,9108.444101446321,33245.48741988739,5.10072869680994,5.085589163094717,16.8324046994728,16.782444238212566,,,COM44,01234567,True,False,ok
run_00010,2026-07-20T04:25:35+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,10,8,1,8,8,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.072,1.072,55296,0.0,True,26.991253591746325,226.99125359174633,8.48,0.86,6660.71395613323,32992.38206047667,,,6660.71395613323,32992.38206047667,5.728214002274577,5.707219137589956,18.903106207506106,18.833823154046854,,,COM44,01234567,True,False,ok
run_00011,2026-07-20T04:25:38+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,1,16,1,16,16,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.1039999999999999,1.1039999999999999,54784,0.6618433697800504,True,27.034881634325114,227.0348816343251,8.41,1.63,8434.183623073919,33448.156783017,,,8434.183623073919,33448.156783017,13.74771930561049,13.70583472323633,45.367473708514616,45.229254586679886,,,COM44,0123456789abcdef,True,False,ok
run_00012,2026-07-20T04:25:41+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,2,16,1,16,16,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.1039999999999999,1.1039999999999999,54784,0.6618433697800504,True,27.034881634325114,227.0348816343251,8.15,1.3699999999999999,8640.370647539883,34006.34579479496,,,8640.370647539883,34006.34579479496,11.837307787129639,11.800269999290613,39.063115697527806,38.94089099765902,,,COM44,0123456789abcdef,True,False,ok
run_00013,2026-07-20T04:25:44+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,3,16,1,16,16,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.1039999999999999,1.1039999999999999,55296,0.0,True,26.991253591746325,226.99125359174633,8.98,0.79,8713.139803578479,34006.34579479496,,,8713.139803578479,34006.34579479496,6.883380444826998,6.864228285888239,22.715155467929094,22.651953343431188,,,COM44,0123456789abcdef,True,False,ok
run_00014,2026-07-20T04:25:47+00:00,RADIO_NRF24L01_PA,nRF24L01+PA,RADIO_NRF24L01 + AT_COMMANDS,tx,COM43,COM44,COM43,4,16,1,16,16,"{""data_rate_kbps"": 2000, ""tx_power_dbm"": -18}",ampere,3300,1.1039999999999999,1.1039999999999999,55296,0.0,True,26.991253591746325,226.99125359174633,8.67,1.83,7773.325297295775,33144.2144301896,,,7773.325297295775,33144.2144301896,14.225185294051268,14.17800193289584,46.94311147036918,46.78740637855627,,,COM44,0123456789abcdef,True,False,ok
