[06:23:31] Starting sustained nRF24L01 link diagnostic on COM43 / COM44
[06:23:44] COM43->COM44 CH80 250 kbps -18 dBm: 217/244, loss=11.0656%, serial_errors=0
[06:23:51] COM44->COM43 CH80 250 kbps -18 dBm: 243/244, loss=0.4098%, serial_errors=0
[06:23:58] COM43->COM44 CH80 250 kbps -6 dBm: 0/250, loss=100.0000%, serial_errors=0
[06:24:06] COM44->COM43 CH80 250 kbps -6 dBm: 0/249, loss=100.0000%, serial_errors=0
[06:24:13] COM43->COM44 CH80 250 kbps 0 dBm: 0/243, loss=100.0000%, serial_errors=0
[06:24:20] COM44->COM43 CH80 250 kbps 0 dBm: 0/248, loss=100.0000%, serial_errors=0
[06:24:28] COM43->COM44 CH80 1000 kbps -18 dBm: 248/249, loss=0.4016%, serial_errors=0
[06:24:35] COM44->COM43 CH80 1000 kbps -18 dBm: 242/242, loss=0.0000%, serial_errors=0
[06:24:43] COM43->COM44 CH80 1000 kbps -6 dBm: 114/234, loss=51.2821%, serial_errors=0
[06:24:50] COM44->COM43 CH80 1000 kbps -6 dBm: 154/251, loss=38.6454%, serial_errors=0
[06:24:57] COM43->COM44 CH80 1000 kbps 0 dBm: 146/248, loss=41.1290%, serial_errors=0
[06:25:05] COM44->COM43 CH80 1000 kbps 0 dBm: 154/245, loss=37.1429%, serial_errors=0
[06:25:12] COM43->COM44 CH80 2000 kbps -18 dBm: 247/247, loss=0.0000%, serial_errors=0
[06:25:19] COM44->COM43 CH80 2000 kbps -18 dBm: 250/250, loss=0.0000%, serial_errors=0
[06:25:27] COM43->COM44 CH80 2000 kbps -6 dBm: 184/250, loss=26.4000%, serial_errors=0
[06:25:34] COM44->COM43 CH80 2000 kbps -6 dBm: 166/248, loss=33.0645%, serial_errors=0
[06:25:41] COM43->COM44 CH80 2000 kbps 0 dBm: 185/247, loss=25.1012%, serial_errors=0
[06:25:49] COM44->COM43 CH80 2000 kbps 0 dBm: 202/251, loss=19.5219%, serial_errors=0
[06:25:56] COM43->COM44 CH40 250 kbps -18 dBm: 11/250, loss=95.6000%, serial_errors=0
[06:26:04] COM44->COM43 CH40 250 kbps -18 dBm: 3/249, loss=98.7952%, serial_errors=0
[06:26:11] COM43->COM44 CH40 250 kbps -6 dBm: 2/249, loss=99.1968%, serial_errors=0
[06:26:18] COM44->COM43 CH40 250 kbps -6 dBm: 21/244, loss=91.3934%, serial_errors=0
[06:26:26] COM43->COM44 CH40 250 kbps 0 dBm: 0/250, loss=100.0000%, serial_errors=0
[06:26:33] COM44->COM43 CH40 250 kbps 0 dBm: 0/249, loss=100.0000%, serial_errors=0
[06:26:40] COM43->COM44 CH40 1000 kbps -18 dBm: 171/248, loss=31.0484%, serial_errors=0
[06:26:48] COM44->COM43 CH40 1000 kbps -18 dBm: 150/246, loss=39.0244%, serial_errors=0
[06:26:55] COM43->COM44 CH40 1000 kbps -6 dBm: 145/249, loss=41.7671%, serial_errors=0
[06:27:02] COM44->COM43 CH40 1000 kbps -6 dBm: 161/247, loss=34.8178%, serial_errors=0
[06:27:10] COM43->COM44 CH40 1000 kbps 0 dBm: 132/246, loss=46.3415%, serial_errors=0
[06:27:17] COM44->COM43 CH40 1000 kbps 0 dBm: 133/248, loss=46.3710%, serial_errors=0
[06:27:24] COM43->COM44 CH40 2000 kbps -18 dBm: 246/246, loss=0.0000%, serial_errors=0
[06:27:32] COM44->COM43 CH40 2000 kbps -18 dBm: 243/246, loss=1.2195%, serial_errors=0
[06:27:39] COM43->COM44 CH40 2000 kbps -6 dBm: 234/250, loss=6.4000%, serial_errors=0
[06:27:47] COM44->COM43 CH40 2000 kbps -6 dBm: 227/241, loss=5.8091%, serial_errors=0
[06:27:54] COM43->COM44 CH40 2000 kbps 0 dBm: 196/244, loss=19.6721%, serial_errors=0
[06:28:01] COM44->COM43 CH40 2000 kbps 0 dBm: 178/243, loss=26.7490%, serial_errors=0
[06:28:04] CSV: C:\Users\Alexandru\Desktop\module radio\ESP32-C3_Radio\power_profiler\diagnostics\nrf24l01_pa\sustained_link\summary.csv
[06:28:04] Completed 36 scenarios; non-zero-loss scenarios: 32
