module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
nRF24L01+PA,rx,8,0,250.0,,5,5,2,0.12146674622248434,0.09970631405150704,23444.652812677927,24003.05692109952,1.57,0.0
nRF24L01+PA,rx,16,0,250.0,,5,5,0,0.14163387877657796,0.055785163439652584,23453.200658482856,24081.042129396064,1.83,0.0
nRF24L01+PA,rx,32,0,250.0,,5,5,0,0.18115784687582676,0.23280543105302262,23459.964630384195,24051.798447433197,2.34,0.1028495371770827
nRF24L01+PA,rx,8,0,1000.0,,5,5,3,0.09029407231492868,0.030214160765467048,24001.614118800822,24627.713848600746,1.14,0.0
nRF24L01+PA,rx,16,0,1000.0,,5,5,2,0.09505474429926973,0.11065984857006994,24003.7233078964,24549.52094435191,1.2,0.0
nRF24L01+PA,rx,32,0,1000.0,,5,5,0,0.10537788136380496,0.1035683032461762,24009.54234764296,24637.465855379505,1.33,0.0
nRF24L01+PA,rx,8,0,2000.0,,5,5,3,0.08637973618074163,0.07329779891209123,24463.25012198857,25028.738835958786,1.07,0.0
nRF24L01+PA,rx,16,0,2000.0,,5,5,3,0.08835530503574492,0.8763688317352071,24340.304417560583,25018.945701268683,1.1,0.0
nRF24L01+PA,rx,32,0,2000.0,,5,5,3,0.09365855484924195,0.07809533027875455,24466.707118401766,25077.698340222592,1.16,0.0
nRF24L01+PA,tx,8,-18,250.0,,5,5,5,0.0698373524494867,1.4350999381640375,17548.42624585126,33489.042299284934,1.206,0.0
nRF24L01+PA,tx,16,-18,250.0,,5,5,5,0.0938872240485832,0.4948251319275296,19929.6329281294,33438.3266332067,1.428,0.0
nRF24L01+PA,tx,32,-18,250.0,,5,5,5,0.1448395589330026,0.5481433437092007,22515.295902247002,33377.330466688916,1.95,0.036155904259165525
nRF24L01+PA,tx,8,-18,1000.0,,5,5,5,0.04378974306724299,5.189936260597761,10114.60220270917,33856.100962459954,1.35,0.6708488958189796
nRF24L01+PA,tx,16,-18,1000.0,,5,5,5,0.0408023351601217,8.427246536662647,12380.812692858704,33955.9961671277,0.992,0.6870547287130867
nRF24L01+PA,tx,32,-18,1000.0,,5,5,5,0.048206969517151976,4.160353696914422,15241.112845908148,33813.75334894372,0.958,0.7176513229430953
nRF24L01+PA,tx,8,-18,2000.0,,5,5,5,0.03437936576132559,9.200999473730839,8229.948427577856,33307.11284344874,1.262,0.652836210648484
nRF24L01+PA,tx,16,-18,2000.0,,5,5,5,0.02765157880735178,9.692980344072206,8480.880519961194,33235.99657534567,0.9959999999999999,0.6618433697800504
nRF24L01+PA,tx,32,-18,2000.0,,5,5,5,0.03419469970008492,6.098083350527919,11385.668973598278,32982.83980604578,0.906,0.0
nRF24L01+PA,tx,8,-6,250.0,,5,5,3,0.16606483521134263,2.6690162882224957,44203.10793862388,96918.7187539416,1.1400000000000001,0.0
nRF24L01+PA,tx,16,-6,250.0,,5,5,0,0.23418548977700848,1.6180333439815378,51511.74247840604,96767.93061548567,1.378,0.0
nRF24L01+PA,tx,32,-6,250.0,,5,5,0,0.37033129445787777,1.230758849378674,58982.079472610625,97220.45259803194,1.904,0.036155904259165525
nRF24L01+PA,tx,8,-6,1000.0,,5,5,5,0.06831670464023465,5.01017962781878,17113.934444434428,97069.57692225464,1.258,0.6708488958189796
nRF24L01+PA,tx,16,-6,1000.0,,5,5,5,0.0829294939775974,5.421038870646069,23434.359774514276,96466.1442490025,1.1119999999999999,0.6870547287130867
nRF24L01+PA,tx,32,-6,1000.0,,5,5,4,0.1135840173470413,6.073047427538451,30712.280216762738,96617.10746210118,1.1219999999999999,0.7176513229430953
nRF24L01+PA,tx,8,-6,2000.0,,5,5,5,0.04990857912089549,9.611597382277562,12762.353831458944,86970.29064602726,1.272,0.652836210648484
nRF24L01+PA,tx,16,-6,2000.0,,5,5,3,0.05193813225902837,11.558536794145411,15104.698202378106,96013.90238588463,1.1099999999999999,0.6618433697800504
nRF24L01+PA,tx,32,-6,2000.0,,5,5,5,0.07172926384510733,6.968539522292403,21238.444221205682,97220.64518013899,1.1039999999999999,0.0
nRF24L01+PA,tx,8,0,250.0,,5,5,3,0.2407572086127676,2.8555253536791163,61853.58910990637,133375.96013247833,1.184,0.7751937984496124
nRF24L01+PA,tx,16,0,250.0,,5,5,0,0.3388462135500868,1.930407098871536,73800.98203274561,133831.17826452333,1.392,0.0
nRF24L01+PA,tx,32,0,250.0,,5,5,0,0.5383764961139852,2.1367992849946784,85174.29193548116,132769.34110072773,1.916,0.036155904259165525
nRF24L01+PA,tx,8,0,1000.0,,5,5,4,0.08438666272293922,4.963149842274833,27739.576352258235,132920.9520900047,0.9359999999999999,0.6708488958189796
nRF24L01+PA,tx,16,0,1000.0,,5,5,2,0.10362710188895963,6.324960320617286,37344.54718575663,132769.1135036921,0.85,0.0
nRF24L01+PA,tx,32,0,1000.0,,5,5,5,0.15834952074267342,4.540696240440564,46758.01839156774,134134.47027293436,1.034,0.7176513229430953
nRF24L01+PA,tx,8,0,2000.0,,5,5,4,0.04959382791731818,5.355098620710672,20341.835646010786,131556.7858283333,0.742,0.652836210648484
nRF24L01+PA,tx,16,0,2000.0,,5,5,4,0.06593048475914691,4.004780306833561,26287.32060892257,132617.52002187943,0.766,0.0
nRF24L01+PA,tx,32,0,2000.0,,5,5,3,0.09354417553078238,8.529469885417367,31761.907001602674,133375.89010262123,0.906,0.6762514277426256
