run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T13:49:16+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,2.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 2}",64.0,62,15.0,60.0,60000.0,427.0,27328.0,419,1.873536299765808,6094848.0,6000000.0,60.0,0.002493847415914684,10972.954127537641,10989.89140863027,10826.664878597001,656.2269444418511,18181.459998623763,0.0,35.7279940993701,2.1655489166581083,59.99881799545842,0.0,2143.679645962206,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf7
continuous_002,2026-07-19T13:51:11+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,62,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,10979.400207932094,10989.89140863027,10827.740327321413,658.008999597626,14144.298888095933,0.0,35.73154308016066,2.1714296986721657,46.676186330716575,0.0,2143.8925848096396,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf7
continuous_003,2026-07-19T13:53:06+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,20.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,62,15.0,60.0,60000.0,427.0,27328.0,425,0.468384074941452,6094848.0,6000000.0,60.0,0.002493847415914684,10968.209987129716,10989.89140863027,10832.428544686403,658.4118276224607,17328.301905675053,0.0,35.747014197465134,2.1727590311541203,57.18339628872767,0.0,2144.820851847908,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf7
continuous_001,2026-07-19T13:55:16+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,2.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 2}",64.0,62,15.0,60.0,60000.0,139.0,8896.0,139,0.0,6099456.0,6000000.0,60.0,0.0,11004.749241628213,10989.89140863027,10871.11915986564,442.257969498846,14414.540293990529,0.0,35.87469322755661,1.4594512993461919,47.56798297016874,0.0,2152.481593653397,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf9
continuous_002,2026-07-19T13:57:12+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,62,15.0,60.0,60000.0,139.0,8896.0,136,2.158273381294964,6100992.0,6000000.0,60.0,0.0,10994.626486392828,10989.89140863027,10865.902899976898,443.31340243723946,16619.881617732262,0.0,35.85747956992376,1.4629342280428903,54.84560933851647,0.0,2151.448774195426,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf9
continuous_003,2026-07-19T13:59:07+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,62,15.0,60.0,60000.0,139.0,8896.0,139,0.0,6101504.0,6000000.0,60.0,0.0,11002.893572406756,10989.89140863027,10870.96084976177,445.26542133596877,18752.082816600094,0.0,35.87417080421384,1.4693758904086969,61.881873294780306,0.0,2152.4502482528305,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf9
continuous_001,2026-07-19T14:04:57+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,2.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 2}",64.0,62,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6382080.0,6000000.0,60.0,0.0,11028.468452461644,11035.803334663418,10881.501242497225,309.21547827249316,12741.772828308776,0.0,35.90895410024084,1.0204110782992275,42.047850333418964,0.0,2154.5372460144504,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf12
continuous_002,2026-07-19T14:06:57+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,62,15.0,60.0,60001.0,20.0,1280.0,20,0.0,6402560.0,6000000.0,60.0,0.0,10954.726264464565,10943.989764574959,10882.354943353952,312.44658001282255,12788.075469499703,0.0,35.911771313068044,1.0310737140423145,42.20064904934902,0.0,2154.7062787840828,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf12
continuous_003,2026-07-19T14:08:59+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),rx,COM29,COM30,COM11,3300.0,20.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,62,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6403584.0,6000000.0,60.0,0.0,10954.087628798798,10943.989764574959,10884.924739613954,314.1719787974297,12788.075469499703,0.0,35.92025164072605,1.036767530031518,42.20064904934902,0.0,2155.215098443563,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,continuous_rx_sf12
continuous_001,2026-07-19T13:23:42+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,COM29,,COM11,3300.0,2.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 2}",64.0,62,15.0,60.0,60000.0,139.0,8896.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,10984.322892070353,10989.89140863027,48427.954593492694,7816.88221721652,51818.69458381369,37443.63170142234,159.8122501585259,25.795711316814515,171.00169212658517,123.56398461469372,9588.735009511554,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_162142_radio_ra01h_sx1276_continuous_tx
continuous_002,2026-07-19T13:25:29+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,COM29,,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,62,15.0,60.0,60001.0,139.0,8896.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,10997.973233427945,10989.89140863027,66927.76691437663,11454.853267231552,76435.00943353145,55929.79368094868,220.86163081744286,37.80101578186412,252.23553113065378,184.56831914713064,13251.697849046572,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_162142_radio_ra01h_sx1276_continuous_tx
continuous_003,2026-07-19T13:27:23+00:00,RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,COM29,,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,62,15.0,60.0,60000.0,139.0,8896.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,11003.711416018628,11035.803334663418,111322.0219388657,19960.155849989682,123220.0372093137,100318.31052284707,367.3626723982568,65.86851430496596,406.6261227907352,331.0504247253953,22041.760343895407,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_162142_radio_ra01h_sx1276_continuous_tx
