profile_id,module,measurement_direction,payload_bytes,tx_power_dbm,spreading_factor,bandwidth_khz,runs,events_detected,packets_attempted,packets_received,packets_lost,packet_loss_percent,event_duration_ms_mean,event_duration_ms_stdev,event_mean_uA_mean,event_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max,source_directory
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,8,2.0,7,125.0,5,5,5,5,0,0.0,43.574,0.03361547262794425,49562.13972109616,51449.796604603725,7126.746858886565,4.205635820011168,7.126746858886565,0.05901199948987986,0.0,0.0,20260719_155432_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,32,2.0,7,125.0,5,5,5,5,0,0.0,79.40799999999999,0.04086563348339923,49699.74000832258,51536.55028359902,13023.635065585437,5.585220518363582,13.023635065585436,0.042885265828143164,0.0,0.0,20260719_155505_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,128,2.0,7,125.0,5,5,5,5,0,0.0,222.77800000000002,0.02949576240750733,49833.47257871377,51655.893400145076,36635.943552417695,22.582668038512086,36.63594355241769,0.061640743621633305,0.04704111393357795,0.04704111393357795,20260719_155538_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,8,2.0,9,125.0,5,5,5,5,0,0.0,152.874,0.013416407864986536,49807.362352670214,51601.63456450448,25127.027949586383,13.85189632602561,25.127027949586385,0.055127476093939025,0.2642962022302472,0.4404936703837454,20260719_155612_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,32,2.0,9,125.0,5,5,5,5,0,0.0,275.74399999999997,0.015165750888115545,49871.901580037775,51645.035052551146,45381.19671195411,20.503022414821494,45.38119671195411,0.0451795543095951,0.028203848740589677,0.028203848740589677,20260719_155646_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,128,2.0,9,125.0,5,5,5,4,1,20.0,705.838,0.004472135955046354,49904.26154751375,51753.56300581018,116240.26980944679,42.58295670627773,116.24026980944679,0.03663356664268258,0.15374683021957178,0.15374683021957178,20260719_155720_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,8,2.0,12,125.0,5,5,5,5,0,0.0,1220.916,0.00894427191010542,49944.10105035171,51775.273531811355,201225.92182464554,41.32285023676881,201.22592182464555,0.020535550222390737,0.06096950614700021,0.06096950614700021,20260719_155801_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,32,2.0,12,125.0,5,5,5,5,0,0.0,2040.118,0.019235384061748417,49948.09084945535,51775.271475415786,336269.997570004,133.47140641753762,336.269997570004,0.039691738002808834,0.040560092501225886,0.040560092501225886,20260719_155847_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,128,2.0,12,125.0,5,5,5,5,0,0.0,5153.056,0.013416407864884851,49955.23460290981,51840.411279001564,849493.0008660011,136.37084373413032,849.4930008660011,0.01605320392223472,0.004129902760773384,0.004129902760773384,20260719_155943_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,8,10.0,7,125.0,5,5,5,4,1,20.0,43.596,0.030495901363954036,69618.22760273986,74931.41737772012,10015.755698546347,57.06892279426896,10.015755698546347,0.5697914816607572,0.21028571428571427,0.5257142857142857,20260719_160118_radio_ra01h_sx1276
RADIO_RA01H_SX1276,Ai-Thinker RA-01H (SX1276),tx,32,10.0,7,125.0,5,5,5,5,0,0.0,79.426,0.039749213828704257,70108.94311047303,75382.4687332671,18375.95937861122,72.7564129635992,18.37595937861122,0.39593259576032996,0.3154285714285714,0.5257142857142857,20260719_160151_radio_ra01h_sx1276
