run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T14:46:21+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,1,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,441.4590853274139,2114.887794786642,9.48,79.82000000000001,16202.209212217438,18609.28830540522,,,16202.209212217438,18609.28830540522,1293.260339319196,1258.0230751283618,4267.759119753347,4151.476147923594,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00002,2026-07-19T14:46:23+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,2,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,69632,0.5257142857142857,True,441.4590853274139,2093.6433685072493,8.97,79.85000000000001,16160.509549310404,18942.61944588296,,,16160.509549310404,18942.61944588296,1290.4166875124358,1255.1912873661288,4258.375068791038,4142.131248308225,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00003,2026-07-19T14:46:25+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,3,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,69632,0.5257142857142857,True,437.30312535927794,2039.834841340607,8.82,79.92,16127.01481095026,18323.976896417058,,,16127.01481095026,18323.976896417058,1288.871023691145,1253.9217579124313,4253.2743781807785,4137.941801111023,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00004,2026-07-19T14:46:27+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,4,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,439.61155031772915,2080.49205740694,8.16,80.08999999999999,16112.637622209184,18514.143374497817,,,16112.637622209184,18514.143374497817,1290.4611471627336,1255.2797572177083,4258.521785637021,4142.423198818437,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00005,2026-07-19T14:46:29+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,5,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,439.61155031772915,2154.892765353143,9.45,79.81,16159.804866886057,18609.28830540522,,,16159.804866886057,18609.28830540522,1289.7140264261764,1254.6317781401854,4256.056287206382,4140.2848678626115,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00006,2026-07-19T14:46:31+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,6,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,439.14977698793626,2031.992491247186,8.87,79.92,16141.280393984476,18419.039571501766,,,16141.280393984476,18419.039571501766,1290.0111290872394,1254.9383972179976,4257.036725987889,4141.296710819392,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00007,2026-07-19T14:46:33+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,7,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,441.4590853274139,2093.6433685072493,8.99,80.17,16075.63196666608,19515.21640360385,,,16075.63196666608,19515.21640360385,1288.7834147676197,1253.4405619683612,4252.985268733145,4136.353854495592,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00008,2026-07-19T14:46:35+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,8,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,439.61155031772915,2069.855002758654,8.62,79.78,16139.863356764221,18371.50309297049,,,16139.863356764221,18371.50309297049,1287.6382986026495,1252.5857884823754,4249.206385388743,4133.5331019918385,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00009,2026-07-19T14:46:37+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,9,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,438.2263628355044,2069.7271081179665,9.04,80.10000000000001,16091.283574753441,18514.143374497817,,,16091.283574753441,18514.143374497817,1288.9118143377507,1253.8358109171338,4253.408987314577,4137.658176026542,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00010,2026-07-19T14:46:39+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),RADIO_RA01SH_SX1262 + AT_COMMANDS,tx,COM31,COM32,COM31,10,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",ampere,3300,79.104,79.104,70144,0.0,True,440.53522948446886,2166.772018380749,8.39,79.83999999999999,16138.966421177518,18704.474364223966,,,16138.966421177518,18704.474364223966,1288.535079066813,1253.3872755392595,4252.165760920483,4136.178009279556,,,COM32,0123456789abcdefghijklmnopqrstuv,True,False,ok
