run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T15:21:45+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,-9.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6087680.0,6000000.0,60.0,0.0,4991.474169845188,4948.90785296562,4531.128228595257,414.66670196771355,13552.404445072285,0.0,14.952723154364346,1.3684001164934547,44.72293466873854,0.0,897.1633892618607,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_181945_radio_ra01sh_sx1262_continuous_rx
continuous_002,2026-07-19T15:23:37+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6087680.0,6000000.0,60.0,0.0,4963.771606580415,4939.313640426947,4502.338550972698,379.5157080454739,12403.94056948534,0.0,14.857717218209903,1.2524018365500638,40.93300387930162,0.0,891.4630330925942,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_181945_radio_ra01sh_sx1262_continuous_rx
continuous_003,2026-07-19T15:25:30+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,22.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 22}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6087680.0,6000000.0,60.0,0.0,4974.657938241619,4944.110425346734,4503.195626948958,387.29896055981976,14228.55720742515,0.0,14.860545568931562,1.278086569847405,46.954238784503,0.0,891.6327341358937,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_181945_radio_ra01sh_sx1262_continuous_rx
continuous_001,2026-07-19T15:27:32+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,-9.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,139,0.0,6116864.0,6000000.0,60.0,0.00027791941677466015,4991.706378784163,4944.110425346734,4486.363820092255,216.63257468268608,11703.803215806463,0.0,14.805000606304441,0.7148874964528641,38.62255061216133,0.0,888.3000363782664,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_182531_radio_ra01sh_sx1262_continuous_rx
continuous_002,2026-07-19T15:29:25+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60001.0,139.0,8896.0,139,0.0,6116864.0,6000000.0,60.0,0.00027791941677466015,4957.978520006966,4929.721998684683,4475.237890285223,203.91349297987904,11944.801348125106,0.0,14.768285037941236,0.6729145268336009,39.41784444881285,0.0,886.0971022764742,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_182531_radio_ra01sh_sx1262_continuous_rx
continuous_003,2026-07-19T15:31:17+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,22.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 22}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,139,0.0,6116864.0,6000000.0,60.0,0.00027791941677466015,4955.755076749744,4929.721998684683,4472.589140306518,205.4186950855099,12222.092797642654,0.0,14.759544163011508,0.6778816937821827,40.33290623222076,0.0,885.5726497806905,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_182531_radio_ra01sh_sx1262_continuous_rx
continuous_001,2026-07-19T15:33:24+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,-9.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6382080.0,6000000.0,60.0,0.0,4989.345731034514,4939.313640426947,4473.00075287098,99.35448544297965,11332.416292568221,0.0,14.760902484474235,0.32786980196183285,37.39697376547513,0.0,885.6541490684541,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_183118_radio_ra01sh_sx1262_continuous_rx
continuous_002,2026-07-19T15:35:22+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6403072.0,6000000.0,60.0,0.0,4989.202308818828,4939.313640426947,4473.571080189425,109.713960896455,11827.95921968225,0.0,14.762784564625102,0.3620560709583015,39.032265424951426,0.0,885.7670738775062,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_183118_radio_ra01sh_sx1262_continuous_rx
continuous_003,2026-07-19T15:37:19+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),rx,COM31,COM32,COM11,3300.0,22.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 22}",64.0,64,15.0,60.0,60001.0,20.0,1280.0,20,0.0,6403072.0,6000000.0,60.0,0.0,5006.887306897044,4934.5174982062645,4473.06256199256,109.06775070309406,11734.3808921555,0.0,14.76110645457545,0.3599235773202104,38.723456944113146,0.0,885.666387274527,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_183118_radio_ra01sh_sx1262_continuous_rx
continuous_001,2026-07-19T15:16:00+00:00,RADIO_RA01SH_SX1262,Ai-Thinker RA-01SH (SX1262),tx,COM31,,COM11,3300.0,-9.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -9}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,550.1243572116612,453.94843139076136,15647.78621357278,2911.444422485698,19562.99964960319,15097.661856361117,51.63769450479017,9.607766594202802,64.55789884369052,49.822284125991686,3098.26167028741,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_181401_radio_ra01sh_sx1262_continuous_tx
