run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T16:34:06+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,-4.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6087680.0,6000000.0,60.0,0.0,11389.785380337222,11403.46889413071,11300.102049243327,680.8880733084061,18228.95534924369,0.0,37.29033676250298,2.24693064191774,60.15555265250418,0.0,2237.420205750179,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193203_radio_ra02_sx1278_continuous_rx
continuous_002,2026-07-19T16:36:08+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,427,0.0,6087680.0,6000000.0,60.0,0.0,11393.405763465695,11403.46889413071,12037.39460712386,777.5675483947753,16555.238987768636,643.9888436581659,39.72340220350874,2.5659729097027584,54.6322886596365,2.1251631840719476,2383.4041322105245,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193203_radio_ra02_sx1278_continuous_rx
continuous_003,2026-07-19T16:38:12+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,20.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,427.0,27328.0,423,0.936768149882904,6087680.0,6000000.0,60.0,0.0,11377.186442909346,11403.46889413071,12287.711273313833,830.1861838053667,18276.460981841457,910.5248304044871,40.54944720193565,2.73961440655771,60.31232124007681,3.0047319403348074,2432.966832116139,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=427,BYTES=27328,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193203_radio_ra02_sx1278_continuous_rx
continuous_001,2026-07-19T16:40:17+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60001.0,139.0,8896.0,137,1.4388489208633093,6116864.0,6000000.0,60.0,0.00027791941677466015,11412.44621403347,11403.46889413071,11341.783403460257,447.32128530760394,13607.843477175335,0.0,37.42788523141885,1.476160241515093,44.9058834746786,0.0,2245.673113885131,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193813_radio_ra02_sx1278_continuous_rx
continuous_002,2026-07-19T16:42:19+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,138,0.7194244604316546,6116864.0,6000000.0,60.0,0.00027791941677466015,11413.414694221034,11403.46889413071,12130.56433333253,500.35837067945283,15611.30752072231,717.1496391114961,40.030862299997345,1.6511826232421944,51.517314818383625,2.366593809067937,2401.8517379998407,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193813_radio_ra02_sx1278_continuous_rx
continuous_003,2026-07-19T16:44:25+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,139,0.0,6116864.0,6000000.0,60.0,0.00027791941677466015,11402.852294210637,11403.46889413071,12411.606014013652,531.0505037507536,18561.7106989626,1008.753719803015,40.958299846245055,1.752466662377487,61.25364530657658,3.3288872753499494,2457.4979907747033,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_193813_radio_ra02_sx1278_continuous_rx
continuous_001,2026-07-19T16:46:35+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,-4.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6382080.0,6000000.0,60.0,0.0,11451.37903074985,11449.473357964382,11363.920807834507,296.5216631600172,15019.851439267866,0.0,37.50093866585387,0.9785214884280569,49.56550974958396,0.0,2250.0563199512326,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_194426_radio_ra02_sx1278_continuous_rx
continuous_002,2026-07-19T16:48:43+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6402560.0,6000000.0,60.0,0.0,11406.93333783802,11403.46889413071,12175.335533342217,311.39512682679015,14088.723905847115,768.4021955041972,40.17860726002932,1.0276039185284074,46.49278888929548,2.5357272451638506,2410.716435601759,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_194426_radio_ra02_sx1278_continuous_rx
continuous_003,2026-07-19T16:50:53+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),rx,COM33,COM34,COM11,3300.0,20.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,20.0,1280.0,20,0.0,6403584.0,6000000.0,60.0,0.0,11394.24597565015,11403.46889413071,12479.363740604365,325.2352632688226,14368.483046803714,1085.117764954215,41.18190034399441,1.0732763687871147,47.415994054452256,3.5808886243489098,2470.9140206396646,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=20,BYTES=1280,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_194426_radio_ra02_sx1278_continuous_rx
continuous_001,2026-07-19T16:28:10+00:00,RADIO_RA02_SX1278,Ai-Thinker RA-02 (SX1278),tx,COM33,,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,139.0,8896.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,1912.9841025930114,1922.3733981985724,11106.488325548304,1787.009148377544,13989.645258724544,9193.504222955293,36.651411474309405,5.897130189645895,46.165829353791,30.338563935752465,2199.0846884585644,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=139,BYTES=8896,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_192609_radio_ra02_sx1278_continuous_tx
