run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T06:45:58+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,1,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11541.513131565242,14269.761854757475,0.0,118.01,11534.21617702138,13902.423451432775,11534.21617702138,13902.423451432775,11534.21617702138,13902.423451432775,1361.152851050293,16.33128961106999,4491.804408465967,53.893255716530966,,,COM19,,False,True,rx_missing
run_00002,2026-07-19T06:46:00+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,2,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77312,0.47630081614788494,True,11495.488103775893,14223.127064554521,0.0,118.01,11470.459204077244,13809.334916092621,11470.459204077244,13809.334916092621,11470.459204077244,13809.334916092621,1353.6288906731554,16.562227829864202,4466.9753392214125,54.655351838551866,,,COM19,,False,True,rx_missing
run_00003,2026-07-19T06:46:02+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,3,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11495.488103775893,14223.127064554521,0.0,118.01,11462.435504012074,13623.281229146349,11462.435504012074,13623.281229146349,11462.435504012074,13623.281229146349,1352.6820138284647,15.610142138191588,4463.850645633934,51.513469056032235,,,COM19,,False,True,rx_missing
run_00004,2026-07-19T06:46:05+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,4,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11541.513131565242,14269.761854757475,0.0,118.01,11488.634075696726,13716.287508663812,11488.634075696726,13716.287508663812,11488.634075696726,13716.287508663812,1355.7737072729706,13.747427463932954,4474.053234000803,45.366510630978745,,,COM19,,False,True,rx_missing
run_00005,2026-07-19T06:46:07+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,5,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11495.488103775893,14223.127064554521,0.0,118.01,11467.361990591602,13669.779227916164,11467.361990591602,13669.779227916164,11467.361990591602,13669.779227916164,1353.263388509715,15.043313500786358,4465.769182082059,49.64293455259498,,,COM19,,False,True,rx_missing
run_00006,2026-07-19T06:46:09+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,6,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77312,0.47630081614788494,True,11495.488103775893,14223.127064554521,0.0,118.01,11452.594703788222,13576.793512354372,11452.594703788222,13576.793512354372,11452.594703788222,13576.793512354372,1351.5207009940482,14.209744885560633,4460.018313280359,46.89215812235009,,,COM19,,False,True,rx_missing
run_00007,2026-07-19T06:46:11+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,7,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77312,0.47630081614788494,True,11495.488103775893,14223.127064554521,0.0,118.01,11463.078775906866,13437.392053845457,11463.078775906866,13437.392053845457,11463.078775906866,13437.392053845457,1352.7579263447692,14.629763583966515,4464.101156937738,48.278219827089494,,,COM19,,False,True,rx_missing
run_00008,2026-07-19T06:46:14+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,8,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11495.488103775893,14223.127064554521,0.0,118.01,11478.638175303095,13623.281229146349,11478.638175303095,13623.281229146349,11478.638175303095,13623.281229146349,1354.5940910675183,15.62953482687908,4470.16050052281,51.57746492870096,,,COM19,,False,True,rx_missing
run_00009,2026-07-19T06:46:16+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,9,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11495.488103775893,13679.794417087749,0.0,118.01,11472.761437536168,13576.793512354372,11472.761437536168,13576.793512354372,11472.761437536168,13576.793512354372,1353.900577243643,15.401715286702448,4467.871904904022,50.82566044611808,,,COM19,,False,True,rx_missing
run_00010,2026-07-19T06:46:18+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,10,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77312,0.47630081614788494,True,11495.488103775893,14223.127064554521,0.0,118.01,11460.99193629997,13716.287508663812,11460.99193629997,13716.287508663812,11460.99193629997,13716.287508663812,1352.5116584027594,15.467847350079454,4463.288472729106,51.0438962552622,,,COM19,,False,True,rx_missing
run_00011,2026-07-19T06:46:20+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,11,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11541.513131565242,14269.761854757475,0.0,118.01,11486.266121867051,13623.281229146349,11486.266121867051,13623.281229146349,11486.266121867051,13623.281229146349,1355.4942650415308,13.988841206326178,4473.131074637051,46.16317598087639,,,COM19,,False,True,rx_missing
run_00012,2026-07-19T06:46:23+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,12,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77312,0.47630081614788494,True,11495.488103775893,14223.127064554521,0.0,118.01,11473.232231737926,13716.287508663812,11473.232231737926,13716.287508663812,11473.232231737926,13716.287508663812,1353.9561356673926,15.392283666353068,4468.055247702395,50.79453609896512,,,COM19,,False,True,rx_missing
run_00013,2026-07-19T06:46:25+00:00,RADIO_SX1278_NAKED,SX1278-Naked,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM19,COM20,COM20,13,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,168.016,77824,0.0,True,11541.513131565242,14269.761854757475,0.0,118.01,11494.355977427107,13576.793512354372,11494.355977427107,13576.793512354372,11494.355977427107,13576.793512354372,1356.4489488961729,14.56157142949006,4476.28153135737,48.0531857173172,,,COM19,,False,True,rx_missing
