run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T09:54:58+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,1,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,71168,0.0,True,2040.6939861725175,2540.6939861725177,8.95,125.72,11968.661006940718,13669.779227916164,,,11968.661006940718,13669.779227916164,1504.7000617925871,1248.2803067781708,4965.510203915537,4119.325012367964,,,COM26,,False,True,rx_missing
run_00002,2026-07-19T09:55:00+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,2,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.83,125.74,11921.917638702358,13809.334916092621,,,11921.917638702358,13809.334916092621,1499.0619238904344,1243.1449881616409,4946.904348838433,4102.378460933414,,,COM26,,False,True,rx_missing
run_00003,2026-07-19T09:55:02+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,3,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,6.94,125.73,11904.323372926205,13762.806071389297,,,11904.323372926205,13762.806071389297,1496.7305776780117,1240.8410950694567,4939.210906337438,4094.775613729207,,,COM26,,False,True,rx_missing
run_00004,2026-07-19T09:55:04+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,4,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.9,125.73,11890.94194777093,13669.779227916164,,,11890.94194777093,13669.779227916164,1495.0481310932391,1239.1644443251253,4933.658832607689,4089.242666272913,,,COM26,,False,True,rx_missing
run_00005,2026-07-19T09:55:05+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,5,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.04,125.72,11910.75823701543,13716.287508663812,,,11910.75823701543,13716.287508663812,1497.42052555758,1241.553123355801,4941.487734340014,4097.125307074143,,,COM26,,False,True,rx_missing
run_00006,2026-07-19T09:55:07+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,6,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.36,125.72,11897.27989446164,13762.806071389297,,,11897.27989446164,13762.806071389297,1495.7260283317175,1239.87369502777,4935.895893494668,4091.583193591641,,,COM26,,False,True,rx_missing
run_00007,2026-07-19T09:55:09+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,7,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.74,125.73,11891.390685834684,13669.779227916164,,,11891.390685834684,13669.779227916164,1495.104550929995,1239.216144987267,4933.845018068983,4089.4132784579806,,,COM26,,False,True,rx_missing
run_00008,2026-07-19T09:55:10+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,8,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.17,125.73,11896.089740602709,13669.779227916164,,,11896.089740602709,13669.779227916164,1495.6953630859787,1239.8072012846756,4935.794698183729,4091.363764239429,,,COM26,,False,True,rx_missing
run_00009,2026-07-19T09:55:12+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,9,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,6.99,125.72,11902.850707965034,13623.281229146349,,,11902.850707965034,13623.281229146349,1496.4263910053642,1240.5579612780352,4938.207090317702,4093.8412722175162,,,COM26,,False,True,rx_missing
run_00010,2026-07-19T09:55:14+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM25,COM26,COM25,10,64,1,64,64,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",ampere,3300,118.01599999999999,118.01599999999999,70656,0.38910505836575876,True,2036.303387085157,2536.303387085157,7.83,125.73,11896.377670063252,13669.779227916164,,,11896.377670063252,13669.779227916164,1495.7315644570526,1239.8436439626232,4935.914162708274,4091.4840250766565,,,COM26,,False,True,rx_missing
