run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T09:36:36+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,-4.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,0,100.0,6094848.0,6000000.0,60.0,0.002493847415914684,11801.61813214786,11817.879219835884,11690.674039858586,486.3950168269135,13995.553114684271,0.0,38.57922433153333,1.6051035555288145,46.185325278458095,0.0,2314.753459892,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",no_rx_data,20260719_123436_radio_sx1278_pcb_2cap_continuous_rx
continuous_002,2026-07-19T09:38:36+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,449.0,28736.0,448,0.22271714922049,6094848.0,6000000.0,60.0,0.002493847415914684,11786.071210956501,11817.879219835884,11652.062536124926,812.4538660048233,13995.553114684271,0.0,38.45180636921226,2.681097757815917,46.185325278458095,0.0,2307.1083821527354,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=449,BYTES=28736,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_123436_radio_sx1278_pcb_2cap_continuous_rx
continuous_003,2026-07-19T09:40:36+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,20.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60001.0,450.0,28800.0,450,0.0,6094848.0,6000000.0,60.0,0.002493847415914684,11782.497281135194,11817.879219835884,11647.807689800049,811.7944595842256,13948.983142069606,0.0,38.43776537634016,2.6789217166279444,46.0316443688297,0.0,2306.2659225804096,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_123436_radio_sx1278_pcb_2cap_continuous_rx
continuous_001,2026-07-19T09:42:39+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60001.0,148.0,9472.0,0,100.0,6094848.0,6000000.0,60.0,0.002493847415914684,11795.264929508201,11817.879219835884,11712.451201991735,504.6817574109448,13902.423451432775,0.0,38.65108896657272,1.6654497994561177,45.87799738972816,0.0,2319.0653379943633,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",no_rx_data,20260719_124038_radio_sx1278_pcb_2cap_continuous_rx
continuous_002,2026-07-19T09:44:39+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,134,9.45945945945946,6094848.0,6000000.0,60.0,0.002493847415914684,11809.798394914646,11863.976221470086,11693.804726141929,603.874764175881,14042.133369276777,0.0,38.58955559626836,1.9927867217804072,46.33904011861336,0.0,2315.3733357761016,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_124038_radio_sx1278_pcb_2cap_continuous_rx
continuous_003,2026-07-19T09:46:38+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,137,7.4324324324324325,6094848.0,6000000.0,60.0,0.002493847415914684,11799.92290407676,11817.879219835884,11690.673131514905,604.1921893028483,13902.423451432775,0.0,38.579221333999186,1.9938342246993994,45.87799738972816,0.0,2314.7532800399513,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_124038_radio_sx1278_pcb_2cap_continuous_rx
continuous_001,2026-07-19T09:48:40+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,-4.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,19,13.636363636363637,6095360.0,6000000.0,60.0,0.0,11845.307423941873,11863.976221470086,11788.393378742083,501.6582705635852,14042.133369276777,0.0,38.901698149848876,1.655472292859831,46.33904011861336,0.0,2334.1018889909324,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_124640_radio_sx1278_pcb_2cap_continuous_rx
continuous_002,2026-07-19T09:50:40+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,19,13.636363636363637,6094848.0,6000000.0,60.0,0.002493847415914684,11835.14965063587,11863.976221470086,11716.742793982938,500.44984593389205,14088.723905847115,0.0,38.665251220143695,1.6514844915818438,46.49278888929548,0.0,2319.915073208622,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_124640_radio_sx1278_pcb_2cap_continuous_rx
continuous_003,2026-07-19T09:52:40+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,rx,COM25,COM26,COM11,3300.0,20.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,19,13.636363636363637,6094848.0,6000000.0,60.0,0.002493847415914684,11825.435880924786,11863.976221470086,11705.816357532452,500.2609814002282,13995.553114684271,0.0,38.62919397985709,1.650861238620753,46.185325278458095,0.0,2317.7516387914256,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_124640_radio_sx1278_pcb_2cap_continuous_rx
continuous_001,2026-07-19T09:30:47+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,tx,COM25,,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,2029.672100299967,2040.6939861725175,11833.635542520738,985.6053415380345,14264.590800859645,9803.963442220771,39.050997290318435,3.2524976270755137,47.07314964283683,32.35307935932855,2343.059837419106,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_122849_radio_sx1278_pcb_2cap_continuous_tx
continuous_002,2026-07-19T09:32:45+00:00,RADIO_SX1278_PCB_2CAP,SX1278-PCB-2Cap,tx,COM25,,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,2030.004710434179,2040.6939861725175,42970.6299009875,3744.556373227489,45696.834819986914,40940.62519055332,141.80307867325874,12.357036031650713,150.79955490595682,135.10406312882597,8508.184720395524,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_122849_radio_sx1278_pcb_2cap_continuous_tx
