run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T05:30:58+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,1,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11771.79250017952,13412.034451128271,0.0,676.86,12615.019763570264,13344.50915806203,12615.019763570264,13344.50915806203,12615.019763570264,13344.50915806203,8538.60227717017,571.4707336076749,28177.38751466156,1885.853420905327,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00002,2026-07-19T05:31:03+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,2,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11771.79250017952,13412.034451128271,0.0,676.86,12599.978890376176,13344.50915806203,12599.978890376176,13344.50915806203,12599.978890376176,13344.50915806203,8528.421711740019,561.2390570565883,28143.79164874206,1852.0888882867414,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00003,2026-07-19T05:31:09+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,3,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11725.71606250099,13365.59215600165,0.0,676.86,12583.755460058092,13344.50915806203,12583.755460058092,13344.50915806203,12583.755460058092,13344.50915806203,8517.44072069492,581.4277309828879,28107.554378293233,1918.7115122435298,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00004,2026-07-19T05:31:14+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,4,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11725.71606250099,13365.59215600165,0.0,676.86,12570.384690331684,13298.08313313707,12570.384690331684,13298.08313313707,12570.384690331684,13298.08313313707,8508.390581497904,572.417641374352,28077.688918943084,1888.9782165353615,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00005,2026-07-19T05:31:19+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,5,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11725.71606250099,13365.59215600165,0.0,676.86,12578.695355615379,13344.50915806203,12578.695355615379,13344.50915806203,12578.695355615379,13344.50915806203,8514.015738401826,578.0809566895895,28096.251936726025,1907.667157075645,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00006,2026-07-19T05:31:25+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,6,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11725.71606250099,13365.59215600165,0.0,676.86,12567.646115268295,13344.50915806203,12567.646115268295,13344.50915806203,12567.646115268295,13344.50915806203,8506.536949580497,570.6256824800838,28071.57193361564,1883.0647521842766,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00007,2026-07-19T05:31:30+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,7,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11771.79250017952,13410.936878783805,0.0,676.86,12588.558131158965,13344.50915806203,12588.558131158965,13344.50915806203,12588.558131158965,13344.50915806203,8520.691456656257,553.5866100775544,28118.281806965646,1826.8358132559295,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00008,2026-07-19T05:31:35+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,8,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11771.79250017952,13412.034451128271,0.0,676.86,12587.740404197606,13251.667390189947,12587.740404197606,13251.667390189947,12587.740404197606,13251.667390189947,8520.137969985191,553.0390985373397,28116.45530095113,1825.0290251732208,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00009,2026-07-19T05:31:40+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,9,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11771.79250017952,13410.936878783805,0.0,676.86,12588.361188264962,13344.50915806203,12588.361188264962,13344.50915806203,12588.361188264962,13344.50915806203,8520.558153889022,553.4629763704868,28117.841907833772,1826.4278220226063,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
run_00010,2026-07-19T05:31:45+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,rx,COM22,COM21,COM21,10,128,1,128,128,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",ampere,3300,676.864,726.864,153088,0.024816164465864713,True,11725.71606250099,13365.59215600165,0.0,676.86,12585.658201337175,13344.50915806203,12585.658201337175,13344.50915806203,12585.658201337175,13344.50915806203,8518.72861015708,582.7910919283834,28111.804413518366,1923.210603363665,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,,COM22,0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ-_,True,False,ok
