run_id,timestamp_utc,profile_id,module,firmware_selection,measurement_direction,measured_port,peer_port,transmitter_port,repetition,payload_bytes,frame_count,max_frame_payload_bytes,serial_content_bytes,parameters_json,ppk_mode,voltage_mv,estimated_airtime_ms,estimated_event_ms,captured_samples,sample_loss_percent,event_detected,baseline_median_uA,threshold_uA,event_start_ms,event_duration_ms,tx_mean_uA,tx_peak_uA,rx_mean_uA,rx_peak_uA,event_mean_uA,event_peak_uA,charge_total_uC,charge_excess_uC,energy_total_uJ,energy_excess_uJ,radio_response,transmitter_response,receiver_port,receiver_response,packet_received,packet_lost,status
run_00001,2026-07-19T05:28:07+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,1,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,8.72,2269.65,74868.54164511868,80947.88649667868,,,74868.54164511868,80947.88649667868,169925.38554484362,165373.42271590192,560753.7722979839,545732.2949624764,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00002,2026-07-19T05:28:14+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,2,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.37,2269.65,74636.70973762096,80947.88649667868,,,74636.70973762096,80947.88649667868,169399.2082559914,164847.2447085039,559017.3872447716,543995.9075380628,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00003,2026-07-19T05:28:22+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,3,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,6.75,2269.65,74608.79305090872,80947.88649667868,,,74608.79305090872,80947.88649667868,169335.84714799497,164783.8690760094,558808.2955883833,543786.767950831,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00004,2026-07-19T05:28:29+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,4,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.27,2269.66,74815.44600385387,80947.88649667868,,,74815.44600385387,80947.88649667868,169805.62517710697,165253.6579601046,560358.563084453,545337.0712683452,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00005,2026-07-19T05:28:37+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,5,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.13,2269.66,74604.75454684993,80947.88649667868,,,74604.75454684993,80947.88649667868,169327.42720480342,164775.44521437382,558780.5097758513,543758.9692074335,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00006,2026-07-19T05:28:44+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,6,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299008,0.13359696467696253,True,2005.58718904849,2505.58718904849,6.71,2269.65,74897.75804810225,80947.88649667868,,,74897.75804810225,80947.88649667868,169991.69655387526,165439.73268096172,560972.5986277884,545951.1178471737,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00007,2026-07-19T05:28:51+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,7,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,6.74,2269.66,74562.28304517307,80947.88649667868,,,74562.28304517307,80947.88649667868,169231.03133630753,164679.05252466115,558462.4034098148,543440.8733313818,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00008,2026-07-19T05:28:59+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,8,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,6.77,2269.66,74608.93595084816,80947.88649667868,,,74608.93595084816,80947.88649667868,169336.91757020203,164784.95183194635,558811.8279816667,543790.341045423,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00009,2026-07-19T05:29:06+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,9,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.3,2269.65,74866.03539366214,80947.88649667868,,,74866.03539366214,80947.88649667868,169919.69723122526,165367.73459481547,560735.0008630434,545713.524162891,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00010,2026-07-19T05:29:13+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,10,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299008,0.13359696467696253,True,2005.58718904849,2505.58718904849,6.78,2269.65,74318.56398168947,80947.88649667868,,,74318.56398168947,80947.88649667868,168677.1287410415,164125.16875187904,556634.5248454369,541613.0568812008,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00011,2026-07-19T05:29:21+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,11,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,6.97,2269.66,74604.23061454397,82452.8791496322,,,74604.23061454397,82452.8791496322,169326.23805660586,164774.27016016905,558776.5855867993,543755.0915285578,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00012,2026-07-19T05:29:28+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,12,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.26,2269.66,74397.19994442043,80947.88649667868,,,74397.19994442043,80947.88649667868,168856.34882585326,164304.38129530702,557225.9511253157,542204.4582745131,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
run_00013,2026-07-19T05:29:36+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,RADIO_RA01_SX1278 + AT_COMMANDS,tx,COM22,COM21,COM22,13,32,1,32,32,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",ampere,3300,1810.4319999999998,1810.4319999999998,299520,0.0,True,2005.58718904849,2505.58718904849,7.56,2269.66,74638.19295477778,80947.88649667868,,,74638.19295477778,80947.88649667868,169403.32102174097,164851.34176559738,559030.9593717451,544009.4278264713,,,COM21,0123456789abcdefghijklmnopqrstuv,True,False,ok
