run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T04:42:00+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,-4.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,351,22.0,6094848.0,6000000.0,60.0,0.002493847415914684,11726.767301170159,11725.71606250099,11632.211076218204,613.0148340681062,13822.446698101876,0.0,38.386296551520076,2.0229489524247506,45.61407410373619,0.0,2303.1777930912044,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_073958_radio_sx1278_shielded_continuous_rx
continuous_002,2026-07-19T04:43:57+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,352,21.77777777777778,6094848.0,6000000.0,60.0,0.002493847415914684,11725.254739613008,11725.71606250099,12573.942550178901,683.4848961691242,13530.31607754023,848.6878105658925,41.494010415590374,2.2555001573581097,44.65004305588276,2.8006697748674454,2489.6406249354222,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_073958_radio_sx1278_shielded_continuous_rx
continuous_003,2026-07-19T04:45:54+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,20.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,449.0,28736.0,351,21.826280623608017,6094848.0,6000000.0,60.0,0.002493847415914684,11728.744007079711,11725.71606250099,12489.108880355428,679.0872400141413,13783.342035383013,760.3648732757174,41.21405930517292,2.2409878920466664,45.48502871676394,2.5092040818098673,2472.843558310375,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=449,BYTES=28736,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_073958_radio_sx1278_shielded_continuous_rx
continuous_001,2026-07-19T05:23:26+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,109,26.35135135135135,6095360.0,6000000.0,60.0,0.0,11732.44604534387,11725.71606250099,11659.441540019714,380.5261353683356,12464.172902697786,0.0,38.47615708206506,1.2557362467155075,41.131770578902696,0.0,2308.5694249239036,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_082122_radio_sx1278_shielded_continuous_rx
continuous_002,2026-07-19T05:25:29+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,108,27.027027027027028,6094848.0,6000000.0,60.0,0.002493847415914684,11747.483203802163,11771.79250017952,12621.80127179564,422.1026581244304,13530.31607754023,874.3180679934776,41.65194419692561,1.3929387718106203,44.65004305588276,2.885249624378476,2499.116651815537,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_082122_radio_sx1278_shielded_continuous_rx
continuous_003,2026-07-19T05:27:33+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,109,26.35135135135135,6094848.0,6000000.0,60.0,0.002493847415914684,11740.285195699149,11725.71606250099,12535.987149763374,421.3716447008023,13437.392053845457,795.701954064225,41.36875759421913,1.3905264275126474,44.343393777690004,2.6258164484119426,2482.125455653148,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_082122_radio_sx1278_shielded_continuous_rx
continuous_001,2026-07-19T04:54:54+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,-4.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,17,22.727272727272727,6094848.0,6000000.0,60.0,0.002493847415914684,11783.486357312966,11817.879219835884,11695.231244125836,233.94734504850535,12417.942235351715,0.0,38.59426310561526,0.7720262386600677,40.979209376660656,0.0,2315.6557863369158,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_075252_radio_sx1278_shielded_continuous_rx
continuous_002,2026-07-19T04:56:51+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,16,27.272727272727273,6094848.0,6000000.0,60.0,0.002493847415914684,11791.84462413605,11817.879219835884,12645.38184425826,254.15926709659223,13530.31607754023,853.537220122209,41.72976008605226,0.8387255814187543,44.65004305588276,2.8166728264032894,2503.7856051631356,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_075252_radio_sx1278_shielded_continuous_rx
continuous_003,2026-07-19T04:58:49+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,rx,COM22,COM21,COM11,3300.0,20.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60001.0,22.0,1408.0,17,22.727272727272727,6094848.0,6000000.0,60.0,0.002493847415914684,11793.408588484897,11817.879219835884,12560.036855434657,257.54836485839064,13483.848924703927,766.6282669497596,41.448121622934366,0.8499096040326891,44.49670145152296,2.5298732809342064,2486.8872973760617,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_075252_radio_sx1278_shielded_continuous_rx
continuous_001,2026-07-19T05:16:59+00:00,RADIO_SX1278_SHIELDED,SX1278-Shielded,tx,COM22,,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6094848.0,6000000.0,60.0,0.002493847415914684,2000.1999782428757,2005.58718904849,11635.087249922088,829.3498911121806,15491.221122651155,9634.887271679212,38.39578792474289,2.7368546406701957,51.121029704748814,31.7951279965414,2303.7472754845735,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_081458_radio_sx1278_shielded_continuous_tx
