run_id,timestamp_utc,profile_id,module,measurement_direction,measured_port,peer_port,ppk_port,voltage_mv,tx_power_dbm,bit_rate_kbps,data_rate_kbps,spreading_factor,bandwidth_khz,air_rate,rf_profile,parameters_json,frame_bytes,content_bytes_per_frame,inter_frame_gap_ms,requested_duration_s,actual_tx_duration_ms,frames_transmitted,bytes_transmitted,frames_received,frame_loss_percent,captured_samples,active_samples,active_window_s,sample_loss_percent,baseline_mean_uA,baseline_median_uA,mean_current_uA,stdev_current_uA,peak_current_uA,mean_excess_current_uA,mean_power_mW,stdev_power_mW,peak_power_mW,mean_excess_power_mW,energy_60s_mJ,transmitter_response,status,source_directory
continuous_001,2026-07-19T11:23:36+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,-4.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60001.0,450.0,28800.0,446,0.8888888888888888,6094848.0,6000000.0,60.0,0.002493847415914684,11476.334788515702,11495.488103775893,11379.735099001859,748.7303502028007,12973.388854041765,0.0,37.553125826706136,2.470810155669242,42.81218321833782,0.0,2253.187549602368,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142135_radio_xl1276_d01_sx1276_continuous_rx
continuous_002,2026-07-19T11:25:36+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,10.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,446,0.8888888888888888,6094848.0,6000000.0,60.0,0.002493847415914684,11466.832756422999,11495.488103775893,12283.769084042644,877.4571470385491,14088.723905847115,816.9363276196455,40.536437977340725,2.895608585227212,46.49278888929548,2.69588988114483,2432.1862786404436,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142135_radio_xl1276_d01_sx1276_continuous_rx
continuous_003,2026-07-19T11:27:38+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,20.0,,,7.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 7, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,450.0,28800.0,446,0.8888888888888888,6094848.0,6000000.0,60.0,0.002493847415914684,11458.972749105576,11495.488103775893,12236.076159968165,868.3181185660657,14042.133369276777,777.1034108625881,40.37905132789494,2.865449791268017,46.33904011861336,2.564441255846541,2422.7430796736967,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=450,BYTES=28800,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142135_radio_xl1276_d01_sx1276_continuous_rx
continuous_001,2026-07-19T11:29:40+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,147,0.6756756756756757,6095360.0,6000000.0,60.0,0.0,11480.417723448008,11495.488103775893,11418.147589547863,534.328453385302,12973.388854041765,0.0,37.67988704550795,1.7632838961714967,42.81218321833782,0.0,2260.793222730477,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142739_radio_xl1276_d01_sx1276_continuous_rx
continuous_002,2026-07-19T11:31:41+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,10.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,146,1.3513513513513513,6094848.0,6000000.0,60.0,0.002493847415914684,11482.295277699588,11495.488103775893,12395.71441490651,604.6113418406204,14135.324724395292,913.4191372069217,40.90585756919148,1.9952174280740473,46.646571590504465,3.0142831527828418,2454.3514541514887,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142739_radio_xl1276_d01_sx1276_continuous_rx
continuous_003,2026-07-19T11:33:42+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,20.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,146,1.3513513513513513,6094848.0,6000000.0,60.0,0.002493847415914684,11476.181472007389,11495.488103775893,12357.585636494934,599.3465044531353,14088.723905847115,881.4041644875451,40.78003260043328,1.9778434646953462,46.49278888929548,2.908633742808899,2446.801956025997,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_142739_radio_xl1276_d01_sx1276_continuous_rx
continuous_001,2026-07-19T11:35:44+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,-4.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60001.0,22.0,1408.0,21,4.545454545454546,6094848.0,6000000.0,60.0,0.002493847415914684,11502.339651271128,11541.513131565242,11440.897027182073,408.8136668763106,12927.045084939495,0.0,37.75496018970084,1.349085100691825,42.65924878030033,0.0,2265.2976113820505,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_143343_radio_xl1276_d01_sx1276_continuous_rx
continuous_002,2026-07-19T11:37:45+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,10.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 10}",64.0,64,15.0,60.0,60000.0,22.0,1408.0,21,4.545454545454546,6094848.0,6000000.0,60.0,0.002493847415914684,11493.487472192512,11541.513131565242,12450.326261327611,422.6962055041317,14042.133369276777,956.8387891350994,41.08607666238112,1.3948974781636345,46.33904011861336,3.157568004145828,2465.164599742867,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_143343_radio_xl1276_d01_sx1276_continuous_rx
continuous_003,2026-07-19T11:39:47+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),rx,COM27,COM28,COM11,3300.0,20.0,,,12.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 12, ""tx_power_dbm"": 20}",64.0,64,15.0,60.0,60001.0,22.0,1408.0,21,4.545454545454546,6094848.0,6000000.0,60.0,0.002493847415914684,11516.396268432558,11495.488103775893,12411.23180187084,405.7459593696777,13948.983142069606,894.8355334382813,40.957064946173766,1.3389616659199364,46.0316443688297,2.9529572603463285,2457.423896770426,"TXCONT=60000,ELAPSED_MS=60001,FRAMES=22,BYTES=1408,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_143343_radio_xl1276_d01_sx1276_continuous_rx
continuous_001,2026-07-19T11:17:52+00:00,RADIO_XL1276_D01_SX1276,XL1276-D01 (SX1276),tx,COM27,,COM11,3300.0,-4.0,,,9.0,125.0,,,"{""bandwidth_khz"": 125, ""spreading_factor"": 9, ""tx_power_dbm"": -4}",64.0,64,15.0,60.0,60000.0,148.0,9472.0,,,6095360.0,6000000.0,60.0,0.0,1929.7636705847278,1935.4969930280076,11466.652265968467,1959.734406451633,68920.55064733031,9536.88859538374,37.83995247769594,6.467123541290389,227.43781713619003,31.471732364766343,2270.397148661756,"TXCONT=60000,ELAPSED_MS=60000,FRAMES=148,BYTES=9472,FRAME=64,GAP_MS=15 | SERIAL_ERRORS=0",ok,20260719_141555_radio_xl1276_d01_sx1276_continuous_tx
