comparison,slug,variant,variant_index,direction,mode_field,mode_value,power_dbm,mean_power_mW,mean_excess_power_mW,baseline_mean_uA,frames_transmitted,frames_received
e32_band,ebyte_e32_433t20d,433T20D,0,rx,bit_rate_kbps,4.8,10.0,43.776740396419136,0.0,13298.784918338344,271,226
e32_band,ebyte_e32_433t20d,433T20D,0,rx,bit_rate_kbps,4.8,14.0,43.6716387797918,0.0,13279.191924119952,271,226
e32_band,ebyte_e32_433t20d,433T20D,0,rx,bit_rate_kbps,4.8,20.0,43.44143931230831,0.0,13299.24347487503,271,226
e32_band,ebyte_e32_433t20d,433T20D,0,tx,bit_rate_kbps,4.8,10.0,150.05106196525043,106.35212741045953,13242.101380239665,271,0
e32_band,ebyte_e32_433t20d,433T20D,0,tx,bit_rate_kbps,4.8,14.0,173.04583654667417,129.2722624687064,13264.71941756599,271,0
e32_band,ebyte_e32_433t20d,433T20D,0,tx,bit_rate_kbps,4.8,20.0,275.8591146735453,231.92525298149877,13313.291421832282,271,0
e32_band,ebyte_e32_868t20d,868T20D,1,rx,bit_rate_kbps,4.8,10.0,43.729498035561846,0.0,13288.670531876041,271,226
e32_band,ebyte_e32_868t20d,868T20D,1,rx,bit_rate_kbps,4.8,14.0,43.6835174544088,0.0,13262.41006865155,271,226
e32_band,ebyte_e32_868t20d,868T20D,1,rx,bit_rate_kbps,4.8,20.0,43.4377343129725,0.0,13291.08499959084,271,226
e32_band,ebyte_e32_868t20d,868T20D,1,tx,bit_rate_kbps,4.8,10.0,150.49088054480373,106.77435021075341,13247.433434560697,271,0
e32_band,ebyte_e32_868t20d,868T20D,1,tx,bit_rate_kbps,4.8,14.0,173.93778727953188,130.0378023606122,13303.025733005954,271,0
e32_band,ebyte_e32_868t20d,868T20D,1,tx,bit_rate_kbps,4.8,20.0,276.36633584990113,232.49212761608953,13295.214616306546,271,0
nrf24_pa,nrf24l01,nRF24,0,rx,bit_rate_kbps,1000.0,-18.0,39.79597276819909,0.0,14418.845954757995,3566,3566
nrf24_pa,nrf24l01,nRF24,0,rx,bit_rate_kbps,1000.0,-6.0,41.37719052747464,0.0,14419.896827358854,3566,2802
nrf24_pa,nrf24l01,nRF24,0,rx,bit_rate_kbps,1000.0,0.0,41.800991882898934,0.0,14403.611173920493,3565,2594
nrf24_pa,nrf24l01,nRF24,0,tx,bit_rate_kbps,1000.0,-18.0,0.8812880408253385,0.7942917930346437,26.362499330513604,3567,0
nrf24_pa,nrf24l01,nRF24,0,tx,bit_rate_kbps,1000.0,-6.0,1.3192585858838992,1.232592553512118,26.262434052054893,3568,0
nrf24_pa,nrf24l01,nRF24,0,tx,bit_rate_kbps,1000.0,0.0,1.694727797656067,1.6080443590041384,26.26770868240267,3566,0
nrf24_pa,nrf24l01_pa,nRF24+PA,1,rx,bit_rate_kbps,1000.0,-18.0,66.74808233511553,0.0,24005.688201966073,3568,3568
nrf24_pa,nrf24l01_pa,nRF24+PA,1,rx,bit_rate_kbps,1000.0,-6.0,72.58768444014966,0.0,24020.72189941952,3566,1922
nrf24_pa,nrf24l01_pa,nRF24+PA,1,rx,bit_rate_kbps,1000.0,0.0,73.29935186388072,0.0,24047.759578203004,3567,1872
nrf24_pa,nrf24l01_pa,nRF24+PA,1,tx,bit_rate_kbps,1000.0,-18.0,2.7903792864312194,2.7013186019848976,26.988086195855104,3565,0
nrf24_pa,nrf24l01_pa,nRF24+PA,1,tx,bit_rate_kbps,1000.0,-6.0,6.121044649248381,6.032978771865221,26.68662951004845,3566,0
nrf24_pa,nrf24l01_pa,nRF24+PA,1,tx,bit_rate_kbps,1000.0,0.0,8.980230935695753,8.892208739581383,26.67339276193005,3566,0
ra02_capacitors,ra02_sx1278,RA-02,0,rx,spreading_factor,9.0,-4.0,37.42788523141885,0.0,11412.44621403347,139,137
ra02_capacitors,ra02_sx1278,RA-02,0,rx,spreading_factor,9.0,10.0,40.030862299997345,2.366593809067937,11413.414694221034,139,138
ra02_capacitors,ra02_sx1278,RA-02,0,rx,spreading_factor,9.0,20.0,40.958299846245055,3.3288872753499494,11402.852294210637,139,139
ra02_capacitors,ra02_sx1278,RA-02,0,tx,spreading_factor,9.0,-4.0,36.651411474309405,30.338563935752465,1912.9841025930114,139,0
ra02_capacitors,ra02_sx1278,RA-02,0,tx,spreading_factor,9.0,10.0,87.99666328385516,81.68101235062747,1913.8336161296043,139,0
ra02_capacitors,ra02_sx1278,RA-02,0,tx,spreading_factor,9.0,20.0,203.68990599745774,197.3791814508725,1912.3407716925028,139,0
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,rx,spreading_factor,9.0,-4.0,37.369510346834545,0.0,11402.214767500673,139,136
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,rx,spreading_factor,9.0,10.0,40.11328961089704,2.5636124612766737,11378.690045339506,139,139
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,rx,spreading_factor,9.0,20.0,41.07329936928591,3.4587860797971612,11398.337360451136,139,138
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,tx,spreading_factor,9.0,-4.0,36.51819357446901,30.198785431587837,1914.9721645094446,139,0
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,tx,spreading_factor,9.0,10.0,84.72833712453273,78.40545509559827,1916.0248572528656,139,0
ra02_capacitors,ra02_sx1278_2cap,RA-02+2C,1,tx,spreading_factor,9.0,20.0,196.94235816240567,190.61643938111703,1916.9450852389791,139,0
